PROSOFT : ProSoft 7.4
CRUISE-ID : Mc472
OPERATOR : Enzo Fab
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Mc472
CAST : A
TIME-STAMP : Tue Feb 27 12:02:11 2001
MODE : NONE
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 17-Jul-2003 15:43:49
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : -0.28304
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
48.00000000	0.13813095	0.12739957	0.10485214	0.08871582	0.07973974	0.08414310	0.09289391	0.09978760	0.09738159	0.09773661	0.09297426	0.09751682	0.08624293	
49.00000000	0.14661567	0.13322463	0.10899445	0.09168845	0.08199900	0.08698113	0.09686529	0.10439061	0.10412388	0.10602142	0.09973900	0.10447684	0.09106798	
50.00000000	0.15276368	0.13717912	0.11095705	0.09266729	0.08257768	0.08756643	0.09789750	0.10564275	0.10317995	0.10270321	0.09916182	0.10633458	0.09170939	
51.00000000	0.14948340	0.13565583	0.10939047	0.09068576	0.08049498	0.08499172	0.09511407	0.10199594	0.09706000	0.10202816	0.09486412	0.10219315	0.08620451	
52.00000000	0.14454433	0.13242717	0.10653343	0.08855113	0.07855855	0.08230180	0.09179591	0.09801204	0.09134184	0.10493115	0.09449367	0.10049431	0.08478361	
53.00000000	0.14183485	0.12925235	0.10455579	0.08720585	0.07733640	0.08041722	0.08961265	0.09505270	0.09074109	0.10421583	0.10035133	0.10636546	0.08648817	
54.00000000	0.13645031	0.12416049	0.10081703	0.08415808	0.07439438	0.07683691	0.08588377	0.09042317	0.09419919	0.10002242	0.10382411	0.10586791	0.08481847	
55.00000000	0.14338662	0.12707348	0.10258592	0.08530285	0.07514358	0.07751593	0.08631262	0.09123074	0.09576313	0.09494345	0.09617248	0.10530671	0.08413604	
56.00000000	0.15073783	0.12972508	0.10556832	0.08708045	0.07628662	0.07854029	0.08747448	0.09253639	0.09741628	0.10044562	0.09700821	0.10718159	0.08205207	
57.00000000	0.15835571	0.13459251	0.10716864	0.08846416	0.07721899	0.07913724	0.08762140	0.09332193	0.10081819	0.11654152	0.09101155	0.10551202	0.08254927	
58.00000000	0.15621581	0.13679214	0.10773833	0.08883529	0.07717627	0.07848420	0.08656414	0.09157363	0.09891106	0.12039390	0.09661049	0.10879409	0.08168758	
59.00000000	0.14934246	0.12739943	0.10319551	0.08469870	0.07322405	0.07348548	0.08074260	0.08460075	0.09816487	0.12598019	0.10177852	0.10873155	0.07474921	
60.00000000	0.14513588	0.12532080	0.10211989	0.08357358	0.07209385	0.07206562	0.07866571	0.08212277	0.09340348	0.12497811	0.09758639	0.10661295	0.07129871	
61.00000000	0.14181888	0.11667944	0.10237893	0.08309815	0.07149233	0.07111073	0.07750921	0.08028970	0.09083275	0.12754027	0.10986080	0.11120821	0.06779814	

Level 4 Product: K Values
K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	
Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
4.00000000	0.06956134	0.08548262	0.05951734	0.04181982	0.03916520	0.05347524	0.08474757	0.09092565	0.16773688	0.32699246	0.44843145	0.46873569	0.43222984	
5.00000000	0.10371190	0.11165923	0.09168582	0.07739790	0.07717128	0.08839635	0.10986836	0.11885290	0.19406398	0.34535866	0.46871277	0.48048979	0.46477629	
6.00000000	0.09938039	0.10128129	0.07829478	0.06247513	0.06121854	0.07244178	0.08563421	0.09691386	0.17451560	0.32754380	0.45506569	0.46244709	0.48453313	
7.00000000	0.13622077	0.12741058	0.10787601	0.09399013	0.09396619	0.10674906	0.11156430	0.12717359	0.21801612	0.38178798	0.52829833	0.51505999	0.53409199	
8.00000000	0.13824221	0.11602124	0.09072563	0.07452978	0.07341492	0.09681465	0.09562511	0.11130182	0.22203615	0.38712420	0.53247977	0.51770830	0.50226146	
9.00000000	0.14205242	0.11358716	0.08644688	0.06908955	0.06840940	0.09838651	0.09396747	0.10926498	0.23016046	0.38730654	0.53458552	0.48872386	0.40118753	
10.00000000	0.14699878	0.12430485	0.10088927	0.08603173	0.08537541	0.11091932	0.11130261	0.12524458	0.23471058	0.38362984	0.52464841	0.42381763	0.28630548	
11.00000000	0.12038015	0.10909373	0.08566362	0.07108937	0.06843296	0.08340043	0.08841123	0.10166339	0.18665265	0.32908093	0.45493436	0.30202858	0.17764973	
12.00000000	0.11151709	0.11050587	0.08966217	0.07674155	0.07315902	0.07972812	0.09117861	0.10435181	0.17336801	0.31892510	0.43790871	0.23784355	0.13813387	
13.00000000	0.10303206	0.10572645	0.08493993	0.07250351	0.06779575	0.06953579	0.08683424	0.10002731	0.16200441	0.31302520	0.41349391	0.20023044	0.11369262	
14.00000000	0.10614736	0.10605912	0.08391799	0.07054355	0.06662508	0.06963450	0.08654835	0.10011538	0.16512254	0.30037922	0.39087562	0.17137751	0.09678666	
15.00000000	0.11501764	0.11818407	0.09527295	0.08136979	0.07736447	0.07751611	0.09997529	0.11517375	0.18006367	0.32244880	0.39034173	0.15555799	0.09801581	
16.00000000	0.11594993	0.12098591	0.09678710	0.08162648	0.07597302	0.07460459	0.09942309	0.11490680	0.18044303	0.33096286	0.36195698	0.13183394	0.09191810	
17.00000000	0.11900619	0.12353879	0.09990645	0.08488451	0.07835531	0.07889071	0.10095611	0.11598146	0.18176095	0.32749971	0.31508937	0.11821423	0.09044971	
18.00000000	0.11294293	0.11480509	0.09240095	0.07826794	0.07127563	0.07424299	0.09163001	0.10500347	0.16692602	0.29946100	0.24467829	0.09840747	0.08280944	
19.00000000	0.10685973	0.10443737	0.08286019	0.06950713	0.06160997	0.06844568	0.07867851	0.09006285	0.15150022	0.25576078	0.18179415	0.08325525	0.07428950	
20.00000000	0.11543952	0.11229355	0.09144286	0.07915810	0.07112263	0.08015080	0.08883768	0.10155985	0.16654950	0.25580339	0.16477271	0.09281903	0.08529398	
21.00000000	0.12059795	0.11671774	0.09400726	0.08086960	0.07068967	0.08238208	0.08948440	0.10370121	0.17754620	0.26075921	0.15533065	0.09597375	0.08830637	
22.00000000	0.12508705	0.12093256	0.09656695	0.08237976	0.07097601	0.08412156	0.09065591	0.10587790	0.18888690	0.25838058	0.14563597	0.09861022	0.08998844	
23.00000000	0.12977476	0.12771539	0.10424932	0.09100065	0.07911691	0.09169201	0.09916117	0.11492136	0.20019926	0.24965211	0.14002461	0.10541917	0.09708729	
24.00000000	0.11722918	0.11471622	0.09150852	0.07848998	0.06688522	0.07800054	0.08393399	0.09751613	0.17643178	0.20679081	0.11273627	0.08979460	0.08310446	
25.00000000	0.11595375	0.11294674	0.09200717	0.08068961	0.07085738	0.08065075	0.08649393	0.09886930	0.16907722	0.18130344	0.10491637	0.09083758	0.08484474	
26.00000000	0.11475693	0.11000097	0.08908625	0.07788208	0.06968338	0.07926899	0.08488665	0.09709528	0.16056842	0.16261749	0.09914897	0.08933342	0.08349250	
27.00000000	0.11897211	0.11176341	0.08967099	0.07753093	0.07056238	0.08091151	0.08729306	0.10017435	0.16593328	0.15463084	0.09792334	0.09127049	0.08516263	
28.00000000	0.12914736	0.12110835	0.09771964	0.08471447	0.07812735	0.08978470	0.09743580	0.11234487	0.18510694	0.15885365	0.10601658	0.10048417	0.09376682	
29.00000000	0.12848946	0.12022812	0.09542084	0.08164656	0.07469130	0.08647596	0.09418186	0.10943219	0.18390304	0.14800978	0.10000803	0.09645460	0.09031499	
30.00000000	0.12697264	0.11976158	0.09666633	0.08375245	0.07717655	0.08810355	0.09565862	0.11008088	0.17898903	0.13737536	0.09693741	0.09617537	0.09121302	
31.00000000	0.12007593	0.11379797	0.09227155	0.07957734	0.07367633	0.08334495	0.09007885	0.10271191	0.16287929	0.12148224	0.08985062	0.09062492	0.08635437	
32.00000000	0.11486132	0.10886936	0.08889422	0.07681633	0.07138022	0.08005262	0.08621329	0.09755203	0.15114333	0.10868259	0.08374049	0.08591301	0.08249520	
33.00000000	0.11895233	0.11206196	0.09151396	0.07802562	0.07395316	0.08358066	0.09052732	0.10297555	0.16005816	0.10759453	0.08492580	0.08856317	0.08575131	
34.00000000	0.12411252	0.11328898	0.09126032	0.07660428	0.07348270	0.08401299	0.09068199	0.10396910	0.16505681	0.10487370	0.08427490	0.08813904	0.08568937	
35.00000000	0.13214963	0.11551839	0.09397344	0.07959717	0.07732394	0.08848875	0.09401716	0.10745680	0.16757156	0.10493713	0.08723735	0.09169011	0.09078901	
36.00000000	0.13348170	0.11509798	0.09238824	0.07740377	0.07441098	0.08598723	0.09131397	0.10474560	0.16496423	0.10069652	0.08762736	0.09060958	0.09004434	
37.00000000	0.13324628	0.11708208	0.09408393	0.07975468	0.07493883	0.08612873	0.09214248	0.10537061	0.16464742	0.09834494	0.08853946	0.09106507	0.09032259	
38.00000000	0.13008444	0.12056354	0.09570626	0.08138151	0.07555902	0.08617116	0.09358096	0.10668196	0.16504544	0.09793415	0.08603817	0.09155823	0.08985116	
39.00000000	0.12511449	0.12410918	0.09574412	0.08205356	0.07616677	0.08571595	0.09360571	0.10559050	0.15891985	0.09602917	0.08545754	0.09060153	0.08825580	
40.00000000	0.12434001	0.12616146	0.09743776	0.08484926	0.07922650	0.08795949	0.09528492	0.10617513	0.15166881	0.09639392	0.08503024	0.09207802	0.08948606	
41.00000000	0.12292667	0.12418882	0.09479689	0.08152967	0.07548600	0.08440027	0.09174181	0.10428992	0.14780354	0.09074879	0.08087362	0.08832207	0.08585669	
42.00000000	0.12800890	0.12590123	0.09725264	0.08253043	0.07574253	0.08553262	0.09411028	0.11149733	0.15760984	0.09409996	0.08098854	0.08901220	0.08657061	
43.00000000	0.13285613	0.12632240	0.10057268	0.08559169	0.07876017	0.08881157	0.09758030	0.11761645	0.16367949	0.09818401	0.08006088	0.09096058	0.08879450	
44.00000000	0.13137061	0.12414012	0.10006578	0.08600009	0.07961666	0.08893400	0.09667641	0.11558265	0.15581273	0.09803882	0.07812189	0.09102208	0.08951104	
45.00000000	0.12528145	0.11845045	0.09641836	0.08344252	0.07752301	0.08569386	0.09208829	0.10695411	0.14091648	0.09532075	0.07385396	0.08701299	0.08672440	
46.00000000	0.12254319	0.11640108	0.10014221	0.08185916	0.07594078	0.08377043	0.08958534	0.10122797	0.13565328	0.05863587	0.06820347	0.08428077	0.08503199	
47.00000000	0.12817974	0.12264529	0.12943946	0.08522036	0.07881227	0.08728327	0.09717329	0.10591235	0.14262845	0.07384403	0.06510433	0.08740807	0.08783488	
48.00000000	0.13831953	0.13249323	0.15523875	0.09178849	0.08469188	0.09382159	0.11399635	0.11481333	0.15275600	0.09943675	0.07479116	0.09316047	0.09389123	
49.00000000	0.14400736	0.13750221	0.15974622	0.09466958	0.08702801	0.09637503	0.12223736	0.11830682	0.15424197	0.12165128	0.07891696	0.09650804	0.09620170	
50.00000000	0.14223588	0.13503260	0.14147098	0.09292601	0.08541117	0.09421213	0.11884160	0.11492320	0.14540147	0.13810942	0.08271776	0.09449715	0.09488878	
51.00000000	0.13772306	0.13076315	0.11316660	0.09075993	0.08350015	0.09156581	0.10881425	0.11069590	0.13715918	0.10464706	0.07735449	0.09186126	0.09349328	
52.00000000	0.13462494	0.12829566	0.10518336	0.09046767	0.08330182	0.09168299	0.09948721	0.10880056	0.12434882	0.09719342	0.06172273	0.09012877	0.09201781	
53.00000000	0.13235499	0.12525779	0.10306435	0.08847347	0.08183876	0.09184708	0.09604188	0.10644496	0.12366645	0.09835626	0.05919915	0.08789056	0.09098809	
54.00000000	0.13580838	0.12840706	0.10468831	0.08919628	0.08264890	0.09467228	0.09750254	0.10840490	0.12953105	0.10030951	0.05771344	0.08930358	0.09249543	
55.00000000	0.14228821	0.13267267	0.10755610	0.08978733	0.08465202	0.09715244	0.10014682	0.11166361	0.13947880	0.09141495	0.00290896	0.09105681	0.09300502	
56.00000000	0.14471948	0.13665138	0.11058706	0.08797971	0.08693025	0.09822996	0.10296544	0.11444139	0.14192075	0.09998811	0.04348730	0.09367044	0.09649034	
57.00000000	0.14491684	0.13904135	0.11281134	0.08822883	0.08860332	0.09805636	0.10461740	0.11569042	0.13064646	0.10658363	0.07344554	0.09585613	0.09720723	
58.00000000	0.14121339	0.13665673	0.11163194	0.08812372	0.08777178	0.09629794	0.10319518	0.11368355	0.12201208	0.11864856	0.09541593	0.09419953	0.09714623	
59.00000000	0.14052471	0.13714702	0.11225594	0.09206914	0.08650035	0.09697363	0.10345554	0.11436751	0.11579149	0.12477955	0.11771167	0.09461779	0.10079899	
60.00000000	0.14293764	0.13757970	0.11276930	0.09616704	0.08602809	0.09745471	0.10379500	0.11522126	0.11731731	0.11353964	0.04538641	0.09405975	0.10058188	
61.00000000	0.14373024	0.13838825	0.11368188	0.09757524	0.08510336	0.09833653	0.10437903	0.11647143	0.11341670	0.11381045	0.04192149	0.09241177	0.10399970	

Level 4 Product: Surface Optical Data
Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	Lu(0-)	
399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
