PROSOFT : ProSoft 7.4
CRUISE-ID : Mc472
OPERATOR : Enzo Fab
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Mc472
CAST : A
TIME-STAMP : Tue Feb 27 12:02:11 2001
MODE : NONE
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 17-Jul-2003 15:43:40
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : -0.28304
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
    02001058	   120232945	    00000023	2.98151621e-002	4.64110616e-002	9.38604858e-002	1.63193504e-001	2.01487897e-001	1.28252273e-001	8.47330334e-002	4.86706782e-002	7.01351045e-003	1.20686914e-003	1.14101233e-003	2.72663414e-003	2.04506617e-003	    02001058	   120234257	    00000023	4.82352142e+000	6.78814640e+000	1.12357179e+001	1.70600784e+001	1.92817530e+001	1.46389969e+001	1.13542134e+001	8.11580637e+000	1.13664430e+000	4.31714620e-002	8.68735043e-003	5.30299682e-002	5.20762362e-002	
    02001058	   120234089	    00000024	2.57923017e-002	4.04957969e-002	8.39310474e-002	1.48493800e-001	1.80442285e-001	1.16558779e-001	7.60116678e-002	4.31089519e-002	6.03252877e-003	1.07939648e-003	1.01656017e-003	2.41163264e-003	1.83135702e-003	    02001058	   120235374	    00000024	4.25950635e+000	6.01741512e+000	1.02018408e+001	1.57182363e+001	1.79757338e+001	1.34874872e+001	1.03845344e+001	7.32394998e+000	9.33002374e-001	3.45064238e-002	7.70194941e-003	4.82556557e-002	4.77606100e-002	
    02001058	   120235221	    00000025	2.26263441e-002	3.58459133e-002	7.61481880e-002	1.36905193e-001	1.67686257e-001	1.07523051e-001	6.94129134e-002	3.89519939e-002	5.32300658e-003	9.85509990e-004	9.24474849e-004	2.18344105e-003	1.67151381e-003	    02001058	   120236498	    00000025	3.77110400e+000	5.31933991e+000	9.20981054e+000	1.43393270e+001	1.66049882e+001	1.23367939e+001	9.43888467e+000	6.55880836e+000	7.74286685e-001	2.81415477e-002	6.83631094e-003	4.36402870e-002	4.34976333e-002	
    02001058	   120236325	    00000026	2.00849303e-002	3.20691105e-002	6.96090978e-002	1.26933243e-001	1.56500696e-001	9.98185790e-002	6.39083367e-002	3.55915480e-002	4.77340273e-003	9.06359781e-004	8.42467640e-004	1.97068950e-003	1.52996708e-003	    02001058	   120237646	    00000026	3.43186234e+000	4.87291364e+000	8.61833113e+000	1.35752389e+001	1.58452345e+001	1.16724329e+001	8.90097344e+000	6.13211780e+000	6.84973958e-001	2.46580945e-002	6.38818532e-003	4.09964630e-002	4.09777862e-002	
    02001058	   120237485	    00000027	1.79023085e-002	2.87606991e-002	6.34386816e-002	1.16894341e-001	1.44992088e-001	9.19594667e-002	5.84727331e-002	3.23251576e-002	4.28558214e-003	8.32708634e-004	7.68582586e-004	1.78785370e-003	1.39648698e-003	    02001058	   120238805	    00000027	3.00945975e+000	4.28845733e+000	7.71680419e+000	1.22629208e+001	1.44103869e+001	1.05139346e+001	7.95815932e+000	5.41012336e+000	5.69616308e-001	2.06286861e-002	5.64515565e-003	3.65317925e-002	3.67842804e-002	
    02001058	   120238645	    00000028	1.58227896e-002	2.55999010e-002	5.76127621e-002	1.07618740e-001	1.34359946e-001	8.47261639e-002	5.34201308e-002	2.93071043e-002	3.83034375e-003	7.58599834e-004	6.96583375e-004	1.60509906e-003	1.26725072e-003	    02001058	   120239940	    00000028	2.68631998e+000	3.86655531e+000	7.13899079e+000	1.15146952e+001	1.36192304e+001	9.82922168e+000	7.39796113e+000	4.96266011e+000	4.87385443e-001	1.78738773e-002	5.16266994e-003	3.37420504e-002	3.42113238e-002	
    02001058	   120239779	    00000029	1.39796657e-002	2.28061236e-002	5.24813204e-002	9.94824254e-002	1.25144721e-001	7.83848559e-002	4.89664631e-002	2.66220816e-002	3.43015583e-003	6.99271247e-004	6.39028634e-004	1.46453751e-003	1.16388115e-003	    02001058	   120241052	    00000029	2.35131016e+000	3.41506389e+000	6.46287568e+000	1.05662289e+001	1.25859892e+001	8.97069978e+000	6.69158410e+000	4.41821731e+000	4.00389804e-001	1.52560375e-002	4.66053263e-003	3.04778066e-002	3.10975833e-002	
    02001058	   120240891	    00000030	1.21464933e-002	2.00085102e-002	4.72288715e-002	9.10322906e-002	1.15469980e-001	7.17125922e-002	4.42819426e-002	2.37950020e-002	3.01659496e-003	6.35610930e-004	5.77650343e-004	1.31439442e-003	1.05548956e-003	    02001058	   120242200	    00000030	2.03553817e+000	2.98027542e+000	5.77741422e+000	9.57479079e+000	1.14720608e+001	8.06614214e+000	5.96348597e+000	3.86933883e+000	3.23794266e-001	1.29577055e-002	4.13795348e-003	2.71576027e-002	2.78871573e-002	
    02001058	   120242047	    00000031	1.05209967e-002	1.74810841e-002	4.23448282e-002	8.30394419e-002	1.06200515e-001	6.54131059e-002	3.99284014e-002	2.12047352e-002	2.64984573e-003	5.72229160e-004	5.20142183e-004	1.17219273e-003	9.50832935e-004	    02001058	   120243311	    00000031	1.81851328e+000	2.67770642e+000	5.32335480e+000	8.94050901e+000	1.08078950e+001	7.53202465e+000	5.53484223e+000	3.54500677e+000	2.78640179e-001	1.15589331e-002	3.82433221e-003	2.51398397e-002	2.59375275e-002	
    02001058	   120243152	    00000032	9.27650709e-003	1.55414786e-002	3.84920644e-002	7.65777987e-002	9.86104530e-002	6.03925898e-002	3.65503049e-002	1.92596508e-002	2.39003806e-003	5.26816083e-004	4.78531560e-004	1.07208410e-003	8.76308347e-004	    02001058	   120244494	    00000032	1.61896287e+000	2.39929253e+000	4.85119519e+000	8.23503023e+000	9.99168956e+000	6.90497309e+000	5.04201160e+000	3.19515507e+000	2.38738490e-001	1.03317518e-002	3.51008331e-003	2.29688851e-002	2.37411825e-002	
