PROSOFT : ProSoft 7.4
CRUISE-ID : mc486
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 0\8
STATION-ID : Missing
CAST : A
TIME-STAMP : Tue Jun 05 10:50:00 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 17-Jul-2003 16:32:41
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 1.0902
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
27.00000000	0.11937222	0.11073483	0.08681883	0.07015552	0.06571304	0.07390346	0.08598156	0.10056539	0.13292332	0.10100584	0.11050481	0.10622886	0.09923629	
28.00000000	0.12254964	0.11338641	0.08796942	0.07061698	0.06578719	0.07421266	0.08678437	0.10161263	0.13468926	0.10409350	0.11628281	0.11134088	0.10466038	
29.00000000	0.12386031	0.11284874	0.08744575	0.06938415	0.06447672	0.07286831	0.08577703	0.10013921	0.13119121	0.09599250	0.11125928	0.11081323	0.10192357	
30.00000000	0.11969741	0.10924637	0.08290317	0.06546685	0.06094944	0.06925648	0.08202280	0.09575204	0.12282442	0.08474415	0.10086104	0.10714843	0.09699821	
31.00000000	0.11326108	0.10404032	0.07742898	0.06058173	0.05645827	0.06460598	0.07716186	0.09040808	0.11471205	0.07612258	0.09214667	0.10050012	0.08931506	
32.00000000	0.11028849	0.10124004	0.07447845	0.05781341	0.05366468	0.06169456	0.07412843	0.08689486	0.10988763	0.07210778	0.08757328	0.09840249	0.08471862	
33.00000000	0.11088247	0.10104444	0.07311771	0.05633556	0.05192941	0.05990350	0.07211225	0.08486375	0.10730927	0.07024387	0.08978709	0.10293644	0.08430680	
34.00000000	0.11216646	0.09977246	0.07131935	0.05414559	0.04939855	0.05732635	0.06982807	0.08263620	0.10557440	0.07245757	0.09612407	0.11413961	0.08891172	
35.00000000	0.10971282	0.09661039	0.06796360	0.05120593	0.04625489	0.05427175	0.06660466	0.07988583	0.10578598	0.07707231	0.10530677	0.12176932	0.09002122	
36.00000000	0.10662717	0.09433759	0.06544124	0.04908744	0.04413755	0.05234156	0.06475030	0.07870151	0.10784924	0.08391785	0.10769160	0.11951564	0.08809832	
37.00000000	0.10677005	0.09407481	0.06463250	0.04826782	0.04309930	0.05181204	0.06464878	0.07944811	0.11268074	0.09640269	0.11743162	0.13211379	0.09822613	
38.00000000	0.10787211	0.09505444	0.06528731	0.04880681	0.04329044	0.05233773	0.06514335	0.08084476	0.11576658	0.09919792	0.13027792	0.13892541	0.10179598	
39.00000000	0.10764002	0.09860048	0.06543163	0.04859801	0.04258014	0.05128518	0.06418361	0.07949520	0.11570975	0.10234404	0.13773945	0.14318819	0.10540198	
40.00000000	0.10445222	0.09805771	0.06425702	0.04742300	0.04098574	0.04894488	0.06111153	0.07582808	0.11012840	0.09712329	0.13272619	0.13821386	0.10046901	
41.00000000	0.09946312	0.09519319	0.06238300	0.04545588	0.03916816	0.04603712	0.05697237	0.07045818	0.10246190	0.08597492	0.11398896	0.12046577	0.08296260	
42.00000000	0.09775755	0.08985832	0.05896073	0.04274227	0.03663391	0.04278122	0.05278236	0.06526269	0.09436713	0.08011998	0.10485759	0.12698613	0.07767406	
43.00000000	0.10059525	0.08784905	0.05768827	0.04128566	0.03557896	0.04135531	0.05044897	0.06251960	0.09281354	0.07357888	0.10727065	0.13614939	0.07934645	
44.00000000	0.10317789	0.08738026	0.05718733	0.04124535	0.03512939	0.04009656	0.04874826	0.05912554	0.09291465	0.06655328	0.10932508	0.13040305	0.07403318	
