PROSOFT : ProSoft 7.4
CRUISE-ID : Mc479
OPERATOR : enzo
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Missing
CAST : A
TIME-STAMP : Wed Apr 18 10:20:46 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 17-Jul-2003 15:43:52
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0.083864
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
11.00000000	0.22485681	0.22133347	0.20480321	0.17441558	0.15118705	0.14610941	0.14545191	0.14551094	0.19740023	0.26497873	0.18069212	0.17788663	0.17413705	
12.00000000	0.22468156	0.22088506	0.20375927	0.17310676	0.15001405	0.14556199	0.14557651	0.14606848	0.19786881	0.25399871	0.18293300	0.18646273	0.18161287	
13.00000000	0.21998414	0.21578369	0.19828146	0.16837384	0.14655214	0.14316571	0.14424782	0.14521267	0.19517758	0.23812295	0.17964247	0.18812521	0.18199320	
14.00000000	0.21573880	0.21121324	0.19335053	0.16480133	0.14444957	0.14228710	0.14448512	0.14622184	0.19407171	0.22306274	0.17624279	0.18874813	0.18116161	
15.00000000	0.21493314	0.20989804	0.19103812	0.16257573	0.14279887	0.14146176	0.14434427	0.14669215	0.19374928	0.21154820	0.17358615	0.18827313	0.17944913	
16.00000000	0.21560892	0.20972865	0.18952922	0.16043304	0.14080654	0.14017404	0.14368623	0.14668083	0.19351196	0.20251108	0.17078604	0.18499328	0.17587542	
17.00000000	0.21092390	0.20469603	0.18395097	0.15526362	0.13672168	0.13712858	0.14180034	0.14584710	0.19152992	0.19312804	0.16811767	0.18062837	0.17082494	
18.00000000	0.19915664	0.19263694	0.17170172	0.14508700	0.12928527	0.13158806	0.13794094	0.14340008	0.18631345	0.17911904	0.16387130	0.17577461	0.16507351	
19.00000000	0.19285383	0.18581057	0.16389756	0.13935459	0.12603653	0.13078086	0.13929743	0.14687346	0.18975897	0.17380163	0.16984924	0.18352836	0.17130764	
20.00000000	0.18890204	0.18081226	0.15721685	0.13364696	0.12209897	0.12897753	0.13957859	0.14904520	0.19345038	0.17014587	0.17717055	0.19285090	0.17788453	
21.00000000	0.18148098	0.17201007	0.14707710	0.12480254	0.11561899	0.12475599	0.13759739	0.14910968	0.19385471	0.16439213	0.18427227	0.20276723	0.18489591	
22.00000000	0.16677870	0.15562925	0.13110734	0.11253140	0.10714002	0.11898968	0.13481909	0.14896831	0.19256352	0.15449150	0.19230129	0.21693527	0.19408837	
23.00000000	0.15239769	0.14036743	0.11648470	0.10162048	0.09990942	0.11412470	0.13248214	0.14905018	0.19188387	0.14273695	0.19967022	0.23301614	0.20308390	
24.00000000	0.14571063	0.13273685	0.10810469	0.09632365	0.09709559	0.11342179	0.13403892	0.15324338	0.19725404	0.13542752	0.21097401	0.25706471	0.21856948	
25.00000000	0.14220432	0.12948378	0.10382895	0.09321745	0.09482140	0.11179324	0.13323926	0.15371167	0.19857195	0.12710105	0.21036378	0.26609438	0.22068870	
26.00000000	0.13902160	0.12711584	0.10062308	0.09007408	0.09142430	0.10754852	0.12850135	0.14866328	0.19086477	0.11673335	0.19579117	0.25042658	0.20375194	
27.00000000	0.13511826	0.12219881	0.09656285	0.08647686	0.08756779	0.10277382	0.12315811	0.14264387	0.18081278	0.11130111	0.18095202	0.23396316	0.18636127	
28.00000000	0.13068561	0.11750981	0.09312485	0.08304199	0.08361433	0.09770051	0.11743503	0.13599812	0.16956893	0.10248131	0.16912016	0.22437821	0.17153257	
29.00000000	0.12463511	0.11103183	0.08755906	0.07836622	0.07872677	0.09190213	0.11144426	0.12919323	0.16070967	0.09192781	0.16013758	0.22315896	0.16480221	
30.00000000	0.12026463	0.10736823	0.08398889	0.07441334	0.07450067	0.08666246	0.10578133	0.12281725	0.15322743	0.08489303	0.14961235	0.21765114	0.16071378	
31.00000000	0.11503162	0.10305820	0.08078427	0.07121768	0.07083889	0.08172118	0.09958478	0.11541944	0.14331495	0.08047938	0.12964881	0.18550724	0.14072184	
32.00000000	0.11706140	0.10373291	0.08167528	0.07099681	0.06949635	0.07918336	0.09580895	0.11036446	0.13842986	0.08487993	0.11153838	0.14477350	0.12051957	
33.00000000	0.12001225	0.10493065	0.08405911	0.07295674	0.07027916	0.07966070	0.09573527	0.11019533	0.13414991	0.08667360	0.10166123	0.11885316	0.10329116	
34.00000000	0.12072849	0.10657790	0.08434008	0.07375352	0.07032705	0.07949686	0.09555937	0.10982967	0.13325486	0.09028996	0.09530038	0.10683830	0.09639989	
35.00000000	0.12164067	0.10696954	0.08403796	0.07327627	0.06936681	0.07816127	0.09437231	0.10847769	0.13271896	0.09037889	0.09604227	0.10541901	0.09446887	
36.00000000	0.11761872	0.10281029	0.08031385	0.06963598	0.06593021	0.07394897	0.08954629	0.10282675	0.12630961	0.08534897	0.09961998	0.10219200	0.09199271	
37.00000000	0.12261384	0.10371894	0.07970577	0.06729859	0.06333792	0.07054387	0.08583239	0.09808589	0.12045617	0.08107805	0.09891828	0.09520410	0.08631209	
