PROSOFT : ProSoft 7.4
CRUISE-ID : mc486
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 0\8
STATION-ID : Missing
CAST : A
TIME-STAMP : Tue Jun 05 10:50:00 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 17-Jul-2003 16:32:28
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 1.0902
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Ls	Ls	Ls	Ls	Ls	Ls	Ls	Ls	Ls	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	Datetag	Timetag2	399.5	412.3	442.7	470.3	490.4	510.4	531.9	554.9	590.6	620.5	664.6	683.3	700.2	Datetag	Timetag2	411.8	442.7	490.8	510.1	555.0	664.5	683.6	
    02001156	   105010961	    00000010	1.21949458e-002	1.75395231e-002	3.12936694e-002	6.82163919e-002	1.00580815e-001	1.01191078e-001	1.03268011e-001	9.11562792e-002	2.50398283e-002	2.67690573e-003	1.73395214e-003	3.66922537e-003	2.16401046e-003	    02001156	   105012299	    00000010	2.75061899e+000	3.52533001e+000	5.39769282e+000	1.05167396e+001	1.48271267e+001	1.68332245e+001	1.99787195e+001	2.14027601e+001	8.61836255e+000	1.40235889e+000	2.56001898e-001	2.23805531e-001	1.01541415e-001	    02001156	   105012299	9.00907388e+001	1.07608467e+002	1.21539515e+002	1.33428126e+002	1.31442125e+002	1.38309933e+002	1.31816715e+002	1.24781141e+002	1.17428200e+002	1.17415749e+002	1.14489282e+002	1.08302868e+002	1.04707428e+002	    02001156	   105012299	4.27186325e-001	4.91828341e-001	7.56309900e-001	8.19069500e-001	8.88012469e-001	1.22128942e-001	1.36915687e-001	
    02001156	   105012144	    00000011	1.02868983e-002	1.50065999e-002	2.75724187e-002	6.09161919e-002	8.98592835e-002	8.91808439e-002	8.94939654e-002	7.75607269e-002	2.00612228e-002	2.09348616e-003	1.40350942e-003	2.78529274e-003	1.73252582e-003	    02001156	   105013351	    00000011	2.27135678e+000	2.94339939e+000	4.64961533e+000	9.27441415e+000	1.32388259e+001	1.49892678e+001	1.77847782e+001	1.88974585e+001	7.06040077e+000	9.82267385e-001	1.59219016e-001	1.52173002e-001	7.08746657e-002	    02001156	   105013351	8.53330299e+001	1.01737993e+002	1.14824025e+002	1.25793843e+002	1.23758430e+002	1.30622121e+002	1.24012119e+002	1.17219050e+002	1.10502241e+002	1.10275734e+002	1.07659787e+002	1.02123648e+002	9.85602620e+001	    02001156	   105013351	4.31574076e-001	5.01598231e-001	7.71042279e-001	8.34757702e-001	8.93772301e-001	1.19885290e-001	1.37186738e-001	
    02001156	   105013214	    00000012	8.73656313e-003	1.29109223e-002	2.43532717e-002	5.45809707e-002	8.05854673e-002	7.90398994e-002	7.81270162e-002	6.65587349e-002	1.62401944e-002	1.68362626e-003	1.17513883e-003	2.21171827e-003	1.43211051e-003	    02001156	   105014471	    00000012	1.87712925e+000	2.46000544e+000	4.01657237e+000	8.21109692e+000	1.18539937e+001	1.33771977e+001	1.58590686e+001	1.66863107e+001	5.75177127e+000	6.75466139e-001	9.63048921e-002	1.04618320e-001	5.18638924e-002	    02001156	   105014471	8.91207394e+001	1.06398085e+002	1.20160857e+002	1.31843714e+002	1.29862595e+002	1.36652538e+002	1.30078746e+002	1.22971417e+002	1.15911689e+002	1.15883320e+002	1.12767455e+002	1.06723268e+002	1.03171513e+002	    02001156	   105014471	4.24318385e-001	4.88024709e-001	7.52911677e-001	8.14817040e-001	8.87028043e-001	1.16517216e-001	1.32685567e-001	
    02001156	   105014299	    00000013	7.41065189e-003	1.10977316e-002	2.15276961e-002	4.90856445e-002	7.27136823e-002	7.06149698e-002	6.88967212e-002	5.78041708e-002	1.33302082e-002	1.38298311e-003	1.01493142e-003	1.86187695e-003	1.23152669e-003	    02001156	   105015601	    00000013	1.58018657e+000	2.09226974e+000	3.52011502e+000	7.33526497e+000	1.06705007e+001	1.19693656e+001	1.41401467e+001	1.46980006e+001	4.68824391e+000	4.83118216e-001	6.01570248e-002	7.56755111e-002	4.06936368e-002	    02001156	   105015601	8.62178506e+001	1.02883088e+002	1.16070629e+002	1.27332791e+002	1.25138286e+002	1.32011606e+002	1.25240259e+002	1.18471210e+002	1.11760116e+002	1.11675396e+002	1.08816959e+002	1.03140237e+002	9.96600805e+001	    02001156	   105015601	4.38605058e-001	5.04270860e-001	7.74294138e-001	8.37900014e-001	9.06377406e-001	1.21770752e-001	1.38772023e-001	
    02001156	   105015443	    00000014	6.32111002e-003	9.58817414e-003	1.90818095e-002	4.42579304e-002	6.57907874e-002	6.32753591e-002	6.09039445e-002	5.03106236e-002	1.09873426e-002	1.15487702e-003	8.84950204e-004	1.59838008e-003	1.07149505e-003	    02001156	   105016724	    00000014	1.35894442e+000	1.81807240e+000	3.14669353e+000	6.67187316e+000	9.76954600e+000	1.08915096e+001	1.28080570e+001	1.31522571e+001	3.89544884e+000	3.60207073e-001	3.91452704e-002	5.80451305e-002	3.39871512e-002	    02001156	   105016724	8.75746094e+001	1.04454943e+002	1.17959038e+002	1.29303411e+002	1.27348566e+002	1.34282060e+002	1.27730502e+002	1.20736237e+002	1.13769202e+002	1.13620607e+002	1.10877281e+002	1.05116711e+002	1.01485716e+002	    02001156	   105016724	4.16155997e-001	4.80938761e-001	7.43423672e-001	8.06850291e-001	8.69232772e-001	1.18050566e-001	1.34311171e-001	
    02001156	   105016571	    00000015	5.46083767e-003	8.37908607e-003	1.70743302e-002	4.01964176e-002	5.99095556e-002	5.70569915e-002	5.41983176e-002	4.40721374e-002	9.13107921e-003	9.83388594e-004	7.75953239e-004	1.38633992e-003	9.40580238e-004	    02001156	   105017799	    00000015	1.17467928e+000	1.58628701e+000	2.82284575e+000	6.08926745e+000	8.96579976e+000	9.93137916e+000	1.16240524e+001	1.17875672e+001	3.24402075e+000	2.59119053e-001	2.58505726e-002	4.62054470e-002	2.92933911e-002	    02001156	   105017799	8.73091544e+001	1.04179333e+002	1.17610729e+002	1.28980265e+002	1.26933807e+002	1.33821591e+002	1.27149014e+002	1.20212844e+002	1.13376542e+002	1.13262575e+002	1.10379379e+002	1.04610452e+002	1.01054851e+002	    02001156	   105017799	4.39307704e-001	5.03669652e-001	7.72081654e-001	8.36296550e-001	9.04127428e-001	1.23534136e-001	1.40485942e-001	
    02001156	   105017652	    00000016	4.77147497e-003	7.40867669e-003	1.54190091e-002	3.67573092e-002	5.48813971e-002	5.17364672e-002	4.84685895e-002	3.87916290e-002	7.64111693e-003	8.53921496e-004	6.84426355e-004	1.20612080e-003	8.26320544e-004	    02001156	   105018905	    00000016	1.01534768e+000	1.38649226e+000	2.53406829e+000	5.55470205e+000	8.22117242e+000	9.04654486e+000	1.05292033e+001	1.05451506e+001	2.70237207e+000	1.86205378e-001	1.75837668e-002	3.79426651e-002	2.60739700e-002	    02001156	   105018905	8.73451884e+001	1.04146024e+002	1.17628481e+002	1.28890626e+002	1.26991631e+002	1.33941757e+002	1.27472180e+002	1.20446805e+002	1.13462201e+002	1.13279430e+002	1.10630669e+002	1.04917568e+002	1.01250371e+002	    02001156	   105018905	4.20625564e-001	4.87121532e-001	7.51451080e-001	8.15117084e-001	8.75619665e-001	1.18871418e-001	1.36507416e-001	
    02001156	   105018724	    00000017	4.18283161e-003	6.56239494e-003	1.39406478e-002	3.36652381e-002	5.03506068e-002	4.70192897e-002	4.34948897e-002	3.42828254e-002	6.46171102e-003	7.54489459e-004	6.14660928e-004	1.06438386e-003	7.35491067e-004	    02001156	   105019930	    00000017	8.69836800e-001	1.21111008e+000	2.26833251e+000	5.04878631e+000	7.51231520e+000	8.21257444e+000	9.50769459e+000	9.40642552e+000	2.24410694e+000	1.34205995e-001	1.22666865e-002	3.17548979e-002	2.28257778e-002	    02001156	   105019930	8.60841095e+001	1.02569094e+002	1.15843182e+002	1.26809137e+002	1.24958024e+002	1.31875921e+002	1.25355693e+002	1.18326197e+002	1.11592840e+002	1.11318884e+002	1.08648424e+002	1.03129883e+002	9.94810590e+001	    02001156	   105019930	4.33755490e-001	4.99662914e-001	7.68885104e-001	8.34263255e-001	8.94254526e-001	1.23590462e-001	1.41224877e-001	
    02001156	   105019775	    00000018	3.66367415e-003	5.79817099e-003	1.25715644e-002	3.07959344e-002	4.62149606e-002	4.27597715e-002	3.90350139e-002	3.02837650e-002	5.43030647e-003	6.59509535e-004	5.41112673e-004	9.27839927e-004	6.49982890e-004	    02001156	   105020990	    00000018	7.43328620e-001	1.05332822e+000	2.02638536e+000	4.59158401e+000	6.87378859e+000	7.46790681e+000	8.60892261e+000	8.41159737e+000	1.86194303e+000	9.56094589e-002	8.68991764e-003	2.70109371e-002	2.03351662e-002	    02001156	   105020990	8.76473426e+001	1.04577329e+002	1.18079210e+002	1.29476375e+002	1.27474194e+002	1.34386272e+002	1.27779791e+002	1.20824198e+002	1.13870556e+002	1.13737473e+002	1.10943456e+002	1.05138334e+002	1.01542733e+002	    02001156	   105020990	4.26534589e-001	4.90602027e-001	7.56179934e-001	8.21203438e-001	8.83961160e-001	1.20228363e-001	1.38377128e-001	
    02001156	   105020839	    00000019	3.22534886e-003	5.15106414e-003	1.13768503e-002	2.83015854e-002	4.26281075e-002	3.90758183e-002	3.52223326e-002	2.68679169e-002	4.57740771e-003	5.66101548e-004	4.55960719e-004	7.82916806e-004	5.57844703e-004	    02001156	   105022078	    00000019	6.46225307e-001	9.18063778e-001	1.83243178e+000	4.22572634e+000	6.35410176e+000	6.86318933e+000	7.87221085e+000	7.59833244e+000	1.56881950e+000	6.98698359e-002	6.58982366e-003	2.37159924e-002	1.84981344e-002	    02001156	   105022078	8.79265843e+001	1.04891373e+002	1.18471910e+002	1.29869127e+002	1.27945642e+002	1.34871541e+002	1.28349327e+002	1.21320800e+002	1.14306041e+002	1.14154538e+002	1.11399234e+002	1.05588361e+002	1.01949561e+002	    02001156	   105022078	4.22785755e-001	4.85592301e-001	7.47123655e-001	8.12033483e-001	8.72033537e-001	1.19573716e-001	1.38248469e-001	
