PROSOFT : ProSoft 7.4
CRUISE-ID : Mc479
OPERATOR : enzo
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 2/8
STATION-ID : Missing
CAST : A
TIME-STAMP : Wed Apr 18 10:20:46 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 17-Jul-2003 15:43:42
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0.083864
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
    02001108	   102114041	    00000024	1.56610133e-003	2.13913153e-003	3.63965677e-003	9.43468479e-003	1.77227902e-002	1.83468724e-002	1.79927655e-002	1.52095237e-002	2.12544003e-003	2.05956459e-004	3.13400574e-004	8.31659668e-004	4.61563667e-004	    02001108	   102117845	    00000024	3.13000108e-001	3.85557514e-001	5.29700625e-001	1.47960196e+000	2.56910290e+000	2.92165312e+000	3.39155846e+000	3.38123470e+000	4.89516252e-001	1.21733710e-002	3.23728054e-003	1.29140751e-002	9.99037522e-003	
    02001108	   102117328	    00000025	1.35091802e-003	1.86713254e-003	3.25901173e-003	8.56290669e-003	1.60750707e-002	1.63736460e-002	1.57267817e-002	1.30403846e-002	1.73701530e-003	1.80403350e-004	2.52893181e-004	6.38759460e-004	3.70280605e-004	    02001108	   102119892	    00000025	2.58338581e-001	3.18686597e-001	4.46516483e-001	1.27740553e+000	2.25279524e+000	2.56412447e+000	2.97746548e+000	2.95899721e+000	3.99966401e-001	8.94010597e-003	2.65612179e-003	1.08525635e-002	8.59746920e-003	
    02001108	   102119635	    00000026	1.16668891e-003	1.63660004e-003	2.94049342e-003	7.79819908e-003	1.46159347e-002	1.46163952e-002	1.37201768e-002	1.11216584e-002	1.41391534e-003	1.58937928e-004	2.02075539e-004	4.77600057e-004	2.91380067e-004	    02001108	   102121433	    00000026	2.16484361e-001	2.68239387e-001	3.82830416e-001	1.11844158e+000	1.99909421e+000	2.27217753e+000	2.63542127e+000	2.60473427e+000	3.28600926e-001	6.66244836e-003	2.15653079e-003	9.14752541e-003	7.43423083e-003	
    02001108	   102121228	    00000027	1.02422399e-003	1.44964447e-003	2.67194747e-003	7.15923100e-003	1.33918569e-002	1.31841384e-002	1.21295760e-002	9.63867241e-003	1.17688859e-003	1.42596480e-004	1.68652637e-004	3.74987599e-004	2.40538699e-004	    02001108	   102122979	    00000027	1.85362864e-001	2.31864544e-001	3.36301868e-001	1.00236515e+000	1.79799537e+000	2.03414419e+000	2.35098089e+000	2.30335889e+000	2.72366781e-001	5.17726356e-003	1.94109917e-003	7.71567258e-003	6.48946650e-003	
    02001108	   102122767	    00000028	8.97543111e-004	1.28577738e-003	2.43046397e-003	6.57675137e-003	1.22931389e-002	1.19418117e-002	1.07760079e-002	8.41267258e-003	9.94318274e-004	1.29229022e-004	1.44183865e-004	3.10321211e-004	2.06758278e-004	    02001108	   102124652	    00000028	1.60987291e-001	2.01976674e-001	2.98635307e-001	9.24244190e-001	1.63703309e+000	1.84139235e+000	2.11703462e+000	2.05193513e+000	2.25735580e-001	3.93924921e-003	1.42146541e-003	6.54103123e-003	5.70288461e-003	
    02001108	   102124434	    00000029	7.83742331e-004	1.14343690e-003	2.21191215e-003	6.05104737e-003	1.13131556e-002	1.08357731e-002	9.58641695e-003	7.34786136e-003	8.38730936e-004	1.14680892e-004	1.21144397e-004	2.45991016e-004	1.73121529e-004	    02001108	   102126005	    00000029	1.41328234e-001	1.78405030e-001	2.68573450e-001	8.45099662e-001	1.50401665e+000	1.68023335e+000	1.92220894e+000	1.84393871e+000	1.89844895e-001	3.13284463e-003	1.20147423e-003	5.71791652e-003	5.12654177e-003	
    02001108	   102125843	    00000030	6.93882125e-004	1.02399515e-003	2.02876710e-003	5.60001052e-003	1.04686073e-002	9.89195767e-003	8.57921279e-003	6.45329512e-003	7.17406816e-004	1.06169820e-004	1.02357313e-004	1.92035758e-004	1.45679533e-004	    02001108	   102128216	    00000030	1.26226981e-001	1.60772175e-001	2.45466834e-001	7.80538534e-001	1.39550748e+000	1.54759530e+000	1.76066153e+000	1.66986984e+000	1.62513150e-001	2.57127366e-003	1.03627524e-003	5.07119942e-003	4.64820447e-003	
    02001108	   102127677	    00000031	6.24651885e-004	9.32379882e-004	1.88766245e-003	5.24333465e-003	9.78982042e-003	9.14919330e-003	7.78668688e-003	5.76838078e-003	6.20352726e-004	9.93503949e-005	8.98788897e-005	1.56188146e-004	1.25705328e-004	    02001108	   102132732	    00000031	1.11074845e-001	1.42346601e-001	2.21911737e-001	7.15264550e-001	1.28718999e+000	1.41580970e+000	1.59874256e+000	1.49827880e+000	1.36040354e-001	2.07987895e-003	8.79007241e-004	4.41379694e-003	4.16153168e-003	
    02001108	   102132257	    00000032	5.51025387e-004	8.32392725e-004	1.72874681e-003	4.87008344e-003	9.10523489e-003	8.42604229e-003	7.04544546e-003	5.13798983e-003	5.37388383e-004	9.08192496e-005	7.92246602e-005	1.31166701e-004	1.08636573e-004	    02001108	   102135109	    00000032	1.00164249e-001	1.29218312e-001	2.05044381e-001	6.66893013e-001	1.20271953e+000	1.31010048e+000	1.46724385e+000	1.35652571e+000	1.15804307e-001	1.73686295e-003	7.45915431e-004	3.90245585e-003	3.78711375e-003	
    02001108	   102134734	    00000033	4.94814425e-004	7.57545924e-004	1.59991702e-003	4.54474537e-003	8.51251624e-003	7.80250253e-003	6.42954446e-003	4.62407607e-003	4.73322129e-004	8.29170616e-005	7.20118167e-005	1.17726613e-004	9.91947608e-005	    02001108	   102139332	    00000033	8.95844261e-002	1.16474931e-001	1.88735329e-001	6.20785829e-001	1.12321094e+000	1.21140884e+000	1.34496854e+000	1.22522494e+000	9.78287374e-002	1.45128693e-003	6.51794896e-004	3.44668916e-003	3.44923402e-003	
    02001108	   102138946	    00000034	4.34198142e-004	6.76295840e-004	1.46483943e-003	4.21764719e-003	7.93118167e-003	7.20961737e-003	5.84772840e-003	4.15090334e-003	4.11064350e-004	7.60237862e-005	6.54701496e-005	1.07249962e-004	8.97689386e-005	    02001108	   102142799	    00000034	8.06825801e-002	1.05408609e-001	1.74391420e-001	5.78828179e-001	1.04944334e+000	1.11996244e+000	1.23132265e+000	1.10557264e+000	8.27332816e-002	1.22425820e-003	5.73602175e-004	3.09674295e-003	3.15095062e-003	
    02001108	   102142517	    00000035	3.86168271e-004	6.12117302e-004	1.34698568e-003	3.91216447e-003	7.38145688e-003	6.64136741e-003	5.29574220e-003	3.69907487e-003	3.62681246e-004	7.04002944e-005	5.94718807e-005	9.53399542e-005	8.25058526e-005	    02001108	   102144662	    00000035	7.17486353e-002	9.43737048e-002	1.59641878e-001	5.35446123e-001	9.87488225e-001	1.02696655e+000	1.12260030e+000	9.83196088e-001	6.99434667e-002	1.06869286e-003	5.13121212e-004	2.80331592e-003	2.86557582e-003	
