PROSOFT : ProSoft 7.4
CRUISE-ID : mc497
OPERATOR : gianluca
LATITUDE : Missing
LONGITUDE : Missing
ZONE : Missing
COMMENT : 6/8
STATION-ID : Missing
CAST : A
TIME-STAMP : Tue Aug 21 10:30:59 2001
MODE : PROVIEW
PRESSURE-TARE : 0.000000
TIMETAG : OFF
PROFILER : WET
REFERENCE : WET
PRO-DARK : OFF
REF-DARK : OFF
PRO-ID : PRO0029
REF-ID : REF0045
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 17-Jul-2003 16:32:33
DEGLITCH_PRODAT : OFF
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0.34594
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Es	Ls	Ls	Ls	Ls	Ls	Ls	Ls	Ls	Ls	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	Datetag	Timetag2	399.5	412.3	442.7	470.3	490.4	510.4	531.9	554.9	590.6	620.5	664.6	683.3	700.2	Datetag	Timetag2	411.8	442.7	490.8	510.1	555.0	664.5	683.6	
    02001233	   103117782	    00000016	1.37657164e-001	1.90127336e-001	2.34856587e-001	2.81929588e-001	2.72476387e-001	1.55139830e-001	9.37356870e-002	5.35064663e-002	9.74741788e-003	2.00062800e-003	1.26813062e-003	2.07522605e-003	2.19473431e-003	    02001233	   103120008	    00000016	1.88594760e+001	2.36842653e+001	2.65246647e+001	3.13382693e+001	3.28919698e+001	2.43451572e+001	1.98529761e+001	1.49195371e+001	3.04718656e+000	2.32765229e-001	2.79894223e-002	8.95514511e-002	7.24119497e-002	    02001233	   103120008	4.54500765e+001	5.20997885e+001	5.79931266e+001	6.20087861e+001	6.13956548e+001	6.54175693e+001	6.30066630e+001	5.81504843e+001	5.10681030e+001	5.46915866e+001	5.29794123e+001	5.14156077e+001	4.49693910e+001	    02001233	   103120008	5.89890129e-001	6.12749528e-001	5.80075031e-001	4.05599062e-001	2.10698151e-001	2.13286322e-002	2.26325193e-002	
    02001233	   103119589	    00000017	1.24518058e-001	1.73318217e-001	2.17365035e-001	2.63924665e-001	2.56289270e-001	1.44773258e-001	8.65227892e-002	4.88465239e-002	8.68807756e-003	1.82382694e-003	1.16640483e-003	1.95551546e-003	2.03516536e-003	    02001233	   103123574	    00000017	1.74039333e+001	2.20044085e+001	2.50115319e+001	2.97774642e+001	3.12970941e+001	2.28389195e+001	1.84171416e+001	1.36041014e+001	2.55395521e+000	1.69628509e-001	1.96764938e-002	7.98708705e-002	6.73512140e-002	    02001233	   103123574	4.61044464e+001	5.29104308e+001	5.89261113e+001	6.30641079e+001	6.24484154e+001	6.65127410e+001	6.40744613e+001	5.92065347e+001	5.19916456e+001	5.56739489e+001	5.39168026e+001	5.23348929e+001	4.57431655e+001	    02001233	   103123574	5.89637864e-001	6.06739601e-001	5.76666828e-001	4.04445964e-001	2.10244045e-001	2.17064825e-002	2.30113676e-002	
    02001233	   103123118	    00000018	1.12119498e-001	1.57428611e-001	2.00805309e-001	2.46806080e-001	2.41066940e-001	1.35350739e-001	8.01876572e-002	4.48642767e-002	7.83136127e-003	1.69123280e-003	1.10199373e-003	1.90987956e-003	1.91710537e-003	    02001233	   103125334	    00000018	1.60027843e+001	2.03591541e+001	2.34359604e+001	2.80688505e+001	2.95017053e+001	2.11956055e+001	1.68923873e+001	1.22564984e+001	2.12046980e+000	1.26272321e-001	1.46320383e-002	7.20039873e-002	6.22950017e-002	    02001233	   103125334	4.51711566e+001	5.17284660e+001	5.75117578e+001	6.14626492e+001	6.08301510e+001	6.48309497e+001	6.24340730e+001	5.75801543e+001	5.05516346e+001	5.41571616e+001	5.24089431e+001	5.08980250e+001	4.44836199e+001	    02001233	   103125334	5.81965287e-001	6.07820265e-001	5.79938862e-001	4.06209326e-001	2.10402497e-001	1.96219086e-002	2.16150360e-002	
    02001233	   103125092	    00000019	1.00500718e-001	1.42439370e-001	1.85348989e-001	2.30760269e-001	2.27000206e-001	1.26593115e-001	7.43224746e-002	4.11449722e-002	7.04198295e-003	1.56017912e-003	1.01716447e-003	1.77696073e-003	1.77063208e-003	    02001233	   103126801	    00000019	1.50238881e+001	1.92498768e+001	2.25191360e+001	2.71947217e+001	2.86560704e+001	2.02939526e+001	1.59945366e+001	1.14207694e+001	1.81526749e+000	9.60154024e-002	1.15862574e-002	6.75490611e-002	5.96413229e-002	    02001233	   103126801	4.62382515e+001	5.30878397e+001	5.91342044e+001	6.33117295e+001	6.26905849e+001	6.67760754e+001	6.43237630e+001	5.94724081e+001	5.22205735e+001	5.59174523e+001	5.41794111e+001	5.25912806e+001	4.59574227e+001	    02001233	   103126801	5.74294097e-001	5.86228626e-001	5.63696872e-001	3.96246502e-001	2.05918682e-001	2.03874035e-002	2.21400576e-002	
    02001233	   103126615	    00000020	9.09182141e-002	1.29970798e-001	1.72251061e-001	2.17105256e-001	2.14988234e-001	1.19361446e-001	6.95938155e-002	3.82495395e-002	6.46533104e-003	1.47154651e-003	9.57101339e-004	1.66398204e-003	1.64377803e-003	    02001233	   103128152	    00000020	1.38257479e+001	1.78053822e+001	2.10737041e+001	2.55785920e+001	2.69586019e+001	1.88175179e+001	1.46764335e+001	1.03090445e+001	1.52664923e+000	7.48803186e-002	9.64756104e-003	6.21089757e-002	5.54075443e-002	    02001233	   103128152	4.65146967e+001	5.33938519e+001	5.94794671e+001	6.36778380e+001	6.30659699e+001	6.71688454e+001	6.47068564e+001	5.97920732e+001	5.25293722e+001	5.62433037e+001	5.44271686e+001	5.28452390e+001	4.61793357e+001	    02001233	   103128152	5.80286176e-001	5.94947027e-001	5.69447835e-001	4.00450788e-001	2.08562575e-001	2.13322525e-002	2.28257079e-002	
    02001233	   103127976	    00000021	8.15955261e-002	1.17632116e-001	1.59044156e-001	2.03225148e-001	2.02749467e-001	1.12005785e-001	6.47758431e-002	3.52937235e-002	5.87964274e-003	1.36496990e-003	8.96762365e-004	1.57644555e-003	1.52598548e-003	    02001233	   103132690	    00000021	1.29857348e+001	1.67959414e+001	2.01404123e+001	2.45960270e+001	2.59559539e+001	1.78845423e+001	1.38238977e+001	9.56825366e+000	1.32725728e+000	6.12839820e-002	8.50624886e-003	5.83658894e-002	5.26994894e-002	    02001233	   103132690	4.60159226e+001	5.27856280e+001	5.87661128e+001	6.28836450e+001	6.22689109e+001	6.63534353e+001	6.38917263e+001	5.90155313e+001	5.18438982e+001	5.55088275e+001	5.37351560e+001	5.21867641e+001	4.56032939e+001	    02001233	   103132690	5.87629217e-001	6.11382015e-001	5.81813937e-001	4.07672908e-001	2.12319684e-001	2.00718077e-002	2.18942955e-002	
    02001233	   103131646	    00000022	7.47191408e-002	1.08567724e-001	1.49483964e-001	1.93662487e-001	1.94544537e-001	1.07198738e-001	6.16163268e-002	3.34133360e-002	5.50413225e-003	1.29732065e-003	8.73660339e-004	1.57427120e-003	1.45730045e-003	    02001233	   103134930	    00000022	1.19889347e+001	1.56175087e+001	1.90320394e+001	2.34251351e+001	2.47527048e+001	1.68098785e+001	1.28522898e+001	8.75237532e+000	1.12695482e+000	4.98437053e-002	7.52142560e-003	5.43851447e-002	4.96245902e-002	    02001233	   103134930	4.68663760e+001	5.38200259e+001	5.99860951e+001	6.42671582e+001	6.36649039e+001	6.78424391e+001	6.53625665e+001	6.04234872e+001	5.30935034e+001	5.68520803e+001	5.50054014e+001	5.34464440e+001	4.66848506e+001	    02001233	   103134930	5.87020408e-001	6.08617350e-001	5.81852980e-001	4.08280375e-001	2.12243223e-001	2.02220412e-002	2.20430150e-002	
    02001233	   103134669	    00000023	6.71440663e-002	9.84340683e-002	1.38425713e-001	1.82004751e-001	1.84393281e-001	1.01257178e-001	5.78842051e-002	3.11848754e-002	5.08150599e-003	1.21797735e-003	8.63918858e-004	1.65034577e-003	1.40404374e-003	    02001233	   103136834	    00000023	1.10967973e+001	1.45651188e+001	1.80335487e+001	2.23648244e+001	2.36603363e+001	1.58289197e+001	1.19556483e+001	8.00195043e+000	9.29100589e-001	4.04249135e-002	6.68651121e-003	5.08172409e-002	4.68322952e-002	    02001233	   103136834	4.70415697e+001	5.40506964e+001	6.02613560e+001	6.45901358e+001	6.39876959e+001	6.81796334e+001	6.56999758e+001	6.07765399e+001	5.33935087e+001	5.71745816e+001	5.53553281e+001	5.37535160e+001	4.69658207e+001	    02001233	   103136834	5.80850080e-001	5.94625772e-001	5.67892897e-001	3.98908438e-001	2.08275796e-001	2.11861886e-002	2.27347451e-002	
    02001233	   103136559	    00000024	6.04678010e-002	8.94301819e-002	1.28490424e-001	1.71459718e-001	1.75198648e-001	9.60061785e-002	5.46333179e-002	2.92869335e-002	4.72686053e-003	1.15155271e-003	8.88771012e-004	1.84537340e-003	1.40600070e-003	    02001233	   103138395	    00000024	1.02690832e+001	1.35715090e+001	1.70838375e+001	2.13571733e+001	2.26374058e+001	1.49351604e+001	1.11689285e+001	7.36163349e+000	7.97723905e-001	3.45027253e-002	6.09792330e-003	4.76171176e-002	4.42490757e-002	    02001233	   103138395	4.57290167e+001	5.23760588e+001	5.82633995e+001	6.22940276e+001	6.16939456e+001	6.57739312e+001	6.33208449e+001	5.83748145e+001	5.13162053e+001	5.49587384e+001	5.30886157e+001	5.16093667e+001	4.50860388e+001	    02001233	   103138395	5.87522278e-001	6.26090048e-001	5.89653248e-001	4.10045997e-001	2.12437305e-001	1.84585833e-002	2.07054688e-002	
    02001233	   103138195	    00000025	5.39555466e-002	8.05875994e-002	1.18610353e-001	1.60943363e-001	1.65980738e-001	9.07977166e-002	5.14666838e-002	2.74831544e-002	4.39073776e-003	1.08585415e-003	9.42505808e-004	2.14823664e-003	1.45116490e-003	    02001233	   103139641	    00000025	9.45549095e+000	1.25755202e+001	1.60231471e+001	2.01491087e+001	2.13725667e+001	1.39117717e+001	1.02802151e+001	6.67416814e+000	6.77303582e-001	2.96846621e-002	5.61894563e-003	4.43728095e-002	4.14048218e-002	    02001233	   103139641	4.36972523e+001	4.99176383e+001	5.53682723e+001	5.90642949e+001	5.84236708e+001	6.23512633e+001	5.99574404e+001	5.51865084e+001	4.84573290e+001	5.19181680e+001	5.02517080e+001	4.87892864e+001	4.26691039e+001	    02001233	   103139641	5.80094603e-001	6.18578901e-001	5.85527748e-001	4.06460562e-001	2.10248723e-001	1.89482327e-002	2.11495168e-002	
