,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200
452.5,1.8254220E+00,1.6232550E+00,1.4284280E+00,1.2451940E+00,1.0778199E+00,9.2549510E-01,7.8082210E-01,6.4579350E-01,5.2088710E-01,4.0242790E-01,2.8840510E-01,1.8514090E-01,1.0967614E-01,6.1610620E-02,3.9458170E-02,2.7341800E-02,2.0107420E-02,1.6002770E-02,1.3463240E-02,1.1478240E-02,9.8270670E-03,8.4320620E-03,7.2610000E-03,6.2683330E-03,5.3956920E-03,4.6507700E-03,4.0089840E-03,3.4637820E-03,2.9970860E-03,2.5897660E-03,2.2398520E-03,1.9358420E-03,1.6755750E-03,1.4500780E-03,1.2546160E-03,1.0832654E-03,9.3889230E-04,8.1431340E-04,7.0761120E-04,6.1321020E-04,5.3146690E-04
457.5,1.8303330E+00,1.6303580E+00,1.4374810E+00,1.2558497E+00,1.0896446E+00,9.3823540E-01,7.9442480E-01,6.5991530E-01,5.3515500E-01,4.1645740E-01,3.0157680E-01,1.9641920E-01,1.1829624E-01,6.7595470E-02,4.3764230E-02,3.0558940E-02,2.2588320E-02,1.8015350E-02,1.5168980E-02,1.2944020E-02,1.1092106E-02,9.5260070E-03,8.2097860E-03,7.0925210E-03,6.1125020E-03,5.2748800E-03,4.5517380E-03,3.9363080E-03,3.4090220E-03,2.9500840E-03,2.5542540E-03,2.2101880E-03,1.9152690E-03,1.6592280E-03,1.4371350E-03,1.2424370E-03,1.0779972E-03,9.3606780E-04,8.1412090E-04,7.0633250E-04,6.1290340E-04
462.5,1.8159660E+00,1.6209730E+00,1.4326000E+00,1.2549005E+00,1.0918912E+00,9.4306670E-01,8.0145420E-01,6.6864560E-01,5.4505760E-01,4.2695550E-01,3.1190410E-01,2.0549280E-01,1.2535491E-01,7.2571710E-02,4.7417750E-02,3.3340500E-02,2.4769170E-02,1.9809650E-02,1.6706960E-02,1.4276750E-02,1.2251990E-02,1.0538928E-02,9.0965680E-03,7.8720070E-03,6.7936510E-03,5.8716510E-03,5.0756760E-03,4.3967350E-03,3.8137780E-03,3.3046350E-03,2.8661390E-03,2.4843430E-03,2.1563770E-03,1.8716040E-03,1.6240690E-03,1.4065540E-03,1.2223720E-03,1.0628609E-03,9.2613010E-04,8.0493450E-04,6.9970560E-04
467.5,1.8094530E+00,1.6164160E+00,1.4299730E+00,1.2541802E+00,1.0928384E+00,9.4551120E-01,8.0549140E-01,6.7413040E-01,5.5175870E-01,4.3464590E-01,3.2014360E-01,2.1335280E-01,1.3186740E-01,7.7364740E-02,5.0967320E-02,3.6036730E-02,2.6864070E-02,2.1504900E-02,1.8127710E-02,1.5487490E-02,1.3289920E-02,1.1431794E-02,9.8659350E-03,8.5381050E-03,7.3752150E-03,6.3754850E-03,5.5122910E-03,4.7763930E-03,4.1439670E-03,3.5918770E-03,3.1159730E-03,2.7017080E-03,2.3456630E-03,2.0367920E-03,1.7678530E-03,1.5318190E-03,1.3314250E-03,1.1582113E-03,1.0092793E-03,8.7783810E-04,7.6323570E-04
472.5,1.8162080E+00,1.6215750E+00,1.4340590E+00,1.2578593E+00,1.0962030E+00,9.4879320E-01,8.0927380E-01,6.7864900E-01,5.5717170E-01,4.4103620E-01,3.2738500E-01,2.2071090E-01,1.3822740E-01,8.2180720E-02,5.4546210E-02,3.8739860E-02,2.8936450E-02,2.3145680E-02,1.9475730E-02,1.6608170E-02,1.4226020E-02,1.2210355E-02,1.0521861E-02,9.0912080E-03,7.8387940E-03,6.7670170E-03,5.8438320E-03,5.0563810E-03,4.3813870E-03,3.7928240E-03,3.2867130E-03,2.8467520E-03,2.4688400E-03,2.1407740E-03,1.8563000E-03,1.6069360E-03,1.3952780E-03,1.2123574E-03,1.0555489E-03,9.1687440E-04,7.9646430E-04
477.5,1.8449220E+00,1.6422270E+00,1.4481040E+00,1.2665904E+00,1.1010475E+00,9.5094890E-01,8.1006850E-01,6.7896060E-01,5.5780060E-01,4.4271750E-01,3.3061640E-01,2.2518140E-01,1.4275020E-01,8.5904270E-02,5.7309690E-02,4.0772900E-02,3.0423640E-02,2.4235420E-02,2.0282870E-02,1.7213370E-02,1.4675740E-02,1.2546127E-02,1.0766678E-02,9.2627260E-03,7.9528200E-03,6.8375740E-03,5.8811310E-03,5.0688640E-03,4.3752750E-03,3.7731860E-03,3.2580000E-03,2.8113780E-03,2.4285090E-03,2.0989390E-03,1.8136110E-03,1.5642810E-03,1.3531850E-03,1.1712395E-03,1.0158215E-03,8.7937350E-04,7.6112570E-04
482.5,1.8182510E+00,1.6138990E+00,1.4192185E+00,1.2382065E+00,1.0738340E+00,9.2556940E-01,7.8742320E-01,6.5969580E-01,5.4229220E-01,4.3141490E-01,3.2384490E-01,2.2246660E-01,1.4244070E-01,8.6558020E-02,5.7992410E-02,4.1319260E-02,3.0803170E-02,2.4448960E-02,2.0366960E-02,1.7205410E-02,1.4604850E-02,1.2433253E-02,1.0621652E-02,9.1018570E-03,7.7848940E-03,6.6675550E-03,5.7131990E-03,4.9055910E-03,4.2176630E-03,3.6238060E-03,3.1164960E-03,2.6794470E-03,2.3063450E-03,1.9858330E-03,1.7100120E-03,1.4699700E-03,1.2668171E-03,1.0927820E-03,9.4441860E-04,8.1476520E-04,7.0289650E-04
487.5,1.6831010E+00,1.4901696E+00,1.3072473E+00,1.1380172E+00,9.8497540E-01,8.4754970E-01,7.2050030E-01,6.0353660E-01,4.9658800E-01,3.9610930E-01,2.9891240E-01,2.0705880E-01,1.3386170E-01,8.2117400E-02,5.5269160E-02,3.9456030E-02,2.9405220E-02,2.3268250E-02,1.9295360E-02,1.6230600E-02,1.3721619E-02,1.1635474E-02,9.9012570E-03,8.4501850E-03,7.2039130E-03,6.1460900E-03,5.2484630E-03,4.4911520E-03,3.8478590E-03,3.2952240E-03,2.8242160E-03,2.4200790E-03,2.0759760E-03,1.7815710E-03,1.5291180E-03,1.3102752E-03,1.1257517E-03,9.6794900E-04,8.3375680E-04,7.1678880E-04,6.1632990E-04
492.5,1.7747240E+00,1.5623205E+00,1.3627209E+00,1.1798146E+00,1.0157229E+00,8.6968210E-01,7.3636610E-01,6.1488950E-01,5.0493680E-01,4.0272980E-01,3.0474110E-01,2.1228950E-01,1.3813970E-01,8.5249020E-02,5.7450640E-02,4.0960860E-02,3.0415790E-02,2.3905770E-02,1.9669180E-02,1.6412490E-02,1.3766097E-02,1.1585633E-02,9.7821130E-03,8.2897020E-03,7.0151710E-03,5.9451220E-03,5.0423150E-03,4.2847950E-03,3.6457530E-03,3.1010690E-03,2.6397780E-03,2.2470390E-03,1.9145590E-03,1.6324290E-03,1.3917828E-03,1.1850312E-03,1.0112616E-03,8.6377460E-04,7.3915570E-04,6.3144120E-04,5.3944380E-04
497.5,1.7394692E+00,1.5165757E+00,1.3099877E+00,1.1233852E+00,9.5806000E-01,8.1298380E-01,6.8286640E-01,5.6633180E-01,4.6259900E-01,3.6788770E-01,2.7853700E-01,1.9490940E-01,1.2756050E-01,7.9124650E-02,5.3260860E-02,3.7806280E-02,2.7867050E-02,2.1658910E-02,1.7584830E-02,1.4488176E-02,1.2005237E-02,9.9770070E-03,8.3261730E-03,6.9733870E-03,5.8350100E-03,4.8894040E-03,4.1007970E-03,3.4445180E-03,2.8986270E-03,2.4384330E-03,2.0533560E-03,1.7291440E-03,1.4574421E-03,1.2294195E-03,1.0373344E-03,8.7414030E-04,7.3812720E-04,6.2376490E-04,5.2806770E-04,4.4661080E-04,3.7758000E-04
