,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
492.5,1.7852110E+00,1.4876110E+00,1.2008555E+00,9.5192730E-01,7.4936600E-01,5.8930020E-01,4.6497130E-01,3.6928340E-01,2.9604460E-01,2.3878980E-01,1.9254800E-01,1.5515610E-01,1.2494018E-01,1.0054303E-01,8.0862410E-02,6.4999020E-02
497.5,1.7595010E+00,1.4606354E+00,1.1745149E+00,9.2703370E-01,7.2612050E-01,5.6775130E-01,4.4506200E-01,3.5090070E-01,2.7904840E-01,2.2326780E-01,1.7860960E-01,1.4280832E-01,1.1411641E-01,9.1137420E-02,7.2741800E-02,5.8035400E-02
502.5,1.6826291E+00,1.3813571E+00,1.0979387E+00,8.5605420E-01,6.6185600E-01,5.1041780E-01,3.9432690E-01,3.0615000E-01,2.3954980E-01,1.8857380E-01,1.4846781E-01,1.1686229E-01,9.1945690E-02,7.2309350E-02,5.6842850E-02,4.4663430E-02
507.5,1.7365509E+00,1.3930276E+00,1.0807760E+00,8.2193950E-01,6.1937970E-01,4.6524840E-01,3.4985120E-01,2.6420810E-01,2.0096450E-01,1.5380405E-01,1.1778655E-01,9.0199250E-02,6.9060360E-02,5.2858240E-02,4.0451200E-02,3.0949220E-02
512.5,1.6801112E+00,1.3079898E+00,9.8365980E-01,7.2462710E-01,5.2862220E-01,3.8422250E-01,2.7944960E-01,2.0399924E-01,1.4993330E-01,1.1089675E-01,8.2116160E-02,6.0826020E-02,4.5061450E-02,3.3384420E-02,2.4733830E-02,1.8325322E-02
517.5,1.5505883E+00,1.1889891E+00,8.8031540E-01,6.3820530E-01,4.5797020E-01,3.2728690E-01,2.3393210E-01,1.6777089E-01,1.2106759E-01,8.7921790E-02,6.3942230E-02,4.6530320E-02,3.3871410E-02,2.4662930E-02,1.7962104E-02,1.3084685E-02
522.5,1.6613429E+00,1.2754261E+00,9.4565600E-01,6.8644510E-01,4.9300540E-01,3.5245880E-01,2.5190310E-01,1.8054017E-01,1.3012572E-01,9.4366470E-02,6.8536080E-02,4.9806700E-02,3.6210550E-02,2.6328950E-02,1.9149520E-02,1.3930716E-02
527.5,1.6323234E+00,1.2516756E+00,9.2708300E-01,6.7215790E-01,4.8199270E-01,3.4391400E-01,2.4521470E-01,1.7525514E-01,1.2590719E-01,9.0999810E-02,6.5874190E-02,4.7717770E-02,3.4580160E-02,2.5066490E-02,1.8175064E-02,1.3181667E-02
532.5,1.6483474E+00,1.2578971E+00,9.2720320E-01,6.6890460E-01,4.7713910E-01,3.3856040E-01,2.3998150E-01,1.7044287E-01,1.2164958E-01,8.7341490E-02,6.2816200E-02,4.5212200E-02,3.2557310E-02,2.3453310E-02,1.6901130E-02,1.2183118E-02
537.5,1.6584593E+00,1.2570358E+00,9.2023670E-01,6.5923780E-01,4.6683250E-01,3.2875770E-01,2.3121854E-01,1.6290408E-01,1.1529804E-01,8.2087110E-02,5.8550940E-02,4.1801610E-02,2.9860790E-02,2.1341213E-02,1.5259253E-02,1.0915652E-02
