,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
547.5,1.4050400E+00,9.7451300E-01,6.6476400E-01,4.4923500E-01,3.0269900E-01,2.0405000E-01,1.3794400E-01,9.3698300E-02,6.4044300E-02,4.3961200E-02,3.0205000E-02,2.0767900E-02,1.4288200E-02,9.8361100E-03,6.7756900E-03,4.6706100E-03
552.5,1.4086500E+00,9.5765100E-01,6.4003800E-01,4.2364100E-01,2.7951000E-01,1.8445600E-01,1.2205600E-01,8.1144100E-02,5.4274900E-02,3.6460100E-02,2.4522300E-02,1.6508900E-02,1.1123800E-02,7.5022200E-03,5.0647700E-03,3.4228300E-03
557.5,1.3735300E+00,9.2284900E-01,6.0943100E-01,3.9849600E-01,2.5967300E-01,1.6921600E-01,1.1055600E-01,7.2553300E-02,4.7897900E-02,3.1758800E-02,2.1087100E-02,1.4017200E-02,9.3278700E-03,6.2138700E-03,4.1450900E-03,2.7688900E-03
562.5,1.3907600E+00,9.2439800E-01,6.0378800E-01,3.9044600E-01,2.5158300E-01,1.6209600E-01,1.0470200E-01,6.7922900E-02,4.4326600E-02,2.9055400E-02,1.9075100E-02,1.2539300E-02,8.2533000E-03,5.4397100E-03,3.5906400E-03,2.3738400E-03
567.5,1.3657000E+00,8.9076500E-01,5.7073100E-01,3.6195700E-01,2.2869700E-01,1.4447100E-01,9.1494700E-02,5.8199700E-02,3.7240800E-02,2.3939100E-02,1.5417300E-02,9.9448900E-03,6.4255700E-03,4.1592700E-03,2.6976800E-03,1.7542000E-03
572.5,1.3761000E+00,8.6674300E-01,5.3591400E-01,3.2789600E-01,1.9985800E-01,1.2180800E-01,7.4435000E-02,4.5701200E-02,2.8234200E-02,1.7530800E-02,1.0911600E-02,6.8073200E-03,4.2573300E-03,2.6700300E-03,1.6802400E-03,1.0617300E-03
577.5,1.3736600E+00,8.1867800E-01,4.7849200E-01,2.7664800E-01,1.5934700E-01,9.1794900E-02,5.3048300E-02,3.0818200E-02,1.8030000E-02,1.0612800E-02,6.2702600E-03,3.7195000E-03,2.2166300E-03,1.3286000E-03,8.0216900E-04,4.8878900E-04
582.5,1.3920200E+00,7.5755800E-01,4.0372100E-01,2.1276000E-01,1.1173400E-01,5.8727400E-02,3.0998700E-02,1.6473400E-02,8.8337800E-03,4.7798400E-03,2.6065400E-03,1.4352500E-03,8.0049200E-04,4.5417300E-04,2.6352000E-04,1.5730700E-04
587.5,1.2968700E+00,6.2207800E-01,2.9174400E-01,1.3529400E-01,6.2577600E-02,2.9019200E-02,1.3549300E-02,6.3954100E-03,3.0661600E-03,1.4990800E-03,7.5088800E-04,3.8928200E-04,2.1150800E-04,1.2196000E-04,7.5231800E-05,4.9640400E-05
592.5,1.2724600E+00,5.2112300E-01,2.0836200E-01,8.2411100E-02,3.2568300E-02,1.2949800E-02,5.2184600E-03,2.1518600E-03,9.2128800E-04,4.1777800E-04,2.0574000E-04,1.1269200E-04,6.9159500E-05,4.6839000E-05,3.4049100E-05,2.5867700E-05
597.5,1.3050600E+00,4.2028200E-01,1.3197400E-01,4.1055200E-02,1.2826200E-02,4.0795800E-03,1.3511600E-03,4.8554600E-04,2.0129200E-04,1.0172100E-04,6.2456900E-05,4.3857900E-05,3.3086100E-05,2.5790000E-05,2.0381000E-05,1.6194800E-05
602.5,1.3227600E+00,3.3222600E-01,8.1338800E-02,1.9796700E-02,4.8909600E-03,1.2706700E-03,3.7488900E-04,1.4180100E-04,7.3456500E-05,4.8418700E-05,3.5935900E-05,2.7865800E-05,2.1924300E-05,1.7327900E-05,1.3712700E-05,1.0854400E-05
607.5,1.3307800E+00,2.9807700E-01,6.5089600E-02,1.4157300E-02,3.1490000E-03,7.5550600E-04,2.2020300E-04,9.0349300E-05,5.2023800E-05,3.6455000E-05,2.7601500E-05,2.1406700E-05,1.6720600E-05,1.3087300E-05,1.0249700E-05,8.0288600E-06
612.5,1.2971700E+00,2.8270100E-01,6.0064100E-02,1.2714700E-02,2.7550500E-03,6.4601900E-04,1.8557500E-04,7.5746900E-05,4.3388000E-05,3.0101100E-05,2.2501300E-05,1.7213200E-05,1.3260800E-05,1.0239400E-05,7.9140400E-06,6.1202100E-06
617.5,1.2917900E+00,2.7312300E-01,5.6294200E-02,1.1561900E-02,2.4317900E-03,5.5480800E-04,1.5604600E-04,6.2965800E-05,3.5732300E-05,2.4496500E-05,1.8063500E-05,1.3622200E-05,1.0345600E-05,7.8774700E-06,6.0061800E-06,4.5839400E-06
622.5,1.2931200E+00,2.6193200E-01,5.1726600E-02,1.0183900E-02,2.0568600E-03,4.5346800E-04,1.2557700E-04,5.0970800E-05,2.9103900E-05,1.9873600E-05,1.4508400E-05,1.0807500E-05,8.1031000E-06,6.0917000E-06,4.5871300E-06,3.4589400E-06
627.5,1.2622000E+00,2.4465600E-01,4.6238200E-02,8.7191100E-03,1.6923500E-03,3.6310100E-04,1.0091200E-04,4.2273300E-05,2.4703500E-05,1.6954300E-05,1.2322800E-05,9.1083200E-06,6.7701200E-06,5.0451500E-06,3.7665100E-06,2.8166100E-06
632.5,1.2622600E+00,2.3299000E-01,4.1936600E-02,7.5390900E-03,1.4013400E-03,2.9297800E-04,8.2694900E-05,3.6296800E-05,2.1891800E-05,1.5174100E-05,1.1025200E-05,8.1184800E-06,6.0058400E-06,4.4534700E-06,3.3084600E-06,2.4622300E-06
637.5,1.2693700E+00,2.1789800E-01,3.6484300E-02,6.1129600E-03,1.0683700E-03,2.1738900E-04,6.4351200E-05,3.0693100E-05,1.9402700E-05,1.3653700E-05,9.9429300E-06,7.3088300E-06,5.3914700E-06,3.9854400E-06,2.9514600E-06,2.1897300E-06
642.5,1.2545900E+00,2.0173600E-01,3.1650900E-02,4.9793600E-03,8.2537500E-04,1.6575300E-04,5.2089000E-05,2.6715500E-05,1.7444300E-05,1.2378000E-05,9.0139000E-06,6.6106200E-06,4.8623700E-06,3.5836400E-06,2.6461600E-06,1.9576400E-06
647.5,1.2014100E+00,1.8182600E-01,2.6861200E-02,3.9893300E-03,6.3245900E-04,1.2751300E-04,4.3158300E-05,2.3610700E-05,1.5765800E-05,1.1229400E-05,8.1638800E-06,5.9692800E-06,4.3764900E-06,3.2154200E-06,2.3671500E-06,1.7462900E-06
652.5,1.1994600E+00,1.5988200E-01,2.0822800E-02,2.7437700E-03,3.9962000E-04,8.3799900E-05,3.3332800E-05,2.0147500E-05,1.3821400E-05,9.8881000E-06,7.1830200E-06,5.2417700E-06,3.8355600E-06,2.8133300E-06,2.0685000E-06,1.5246500E-06
657.5,1.1434600E+00,1.2537500E-01,1.3470900E-02,1.4927300E-03,2.0380100E-04,5.3005900E-05,2.7387600E-05,1.8089600E-05,1.2552000E-05,9.0026000E-06,6.5636200E-06,4.8092400E-06,3.5363200E-06,2.6090300E-06,1.9313800E-06,1.4346600E-06
