PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : Missing
OPERATOR : Unknown
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Thu Apr 29 14:01:40 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:39:53
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values													
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu
59	0.09375479	0.08805149	0.07165235	0.06123494	0.05620662	0.06039963	0.06677218	0.06334444	0.04915293	0.04916808	0.00506964	-0.02718469	0.02574531
60	0.09510913	0.08949198	0.07308165	0.06254412	0.05745128	0.06165057	0.0682714	0.06481591	0.05169734	0.04999754	-0.00204906	-0.03789345	0.01745426
61	0.09361809	0.08805214	0.07184844	0.0614441	0.05629703	0.06032418	0.06688724	0.06366894	0.05171544	0.04908582	-0.00373877	-0.04048007	0.01122622
62	0.09263981	0.08706552	0.07090869	0.06069946	0.05561281	0.05989942	0.06696084	0.06435092	0.05284447	0.05180914	0.00767226	-0.02280964	0.01892823
63	0.08973002	0.08414421	0.06821133	0.05839122	0.05348407	0.05772286	0.06461966	0.06265708	0.05192526	0.05182177	0.02129826	-0.000269	0.03123577
64	0.09083832	0.08527875	0.06931414	0.05977127	0.05507642	0.05979602	0.06708782	0.06569653	0.05612265	0.05693172	0.03585243	0.02160348	0.04444614
65	0.09279744	0.08726857	0.07106298	0.06157702	0.05679321	0.06193888	0.06969069	0.06838077	0.05988113	0.06025764	0.04096445	0.02977704	0.04858789
66	0.09179654	0.08628039	0.0702507	0.0608898	0.05597581	0.0607978	0.06832164	0.06668165	0.05823678	0.05840889	0.03242342	0.01659437	0.04066037
67	0.09262592	0.0871769	0.07130149	0.06198415	0.05716166	0.06210236	0.06960324	0.06803067	0.0586172	0.05966913	0.0240777	0.00317526	0.03060494
68	0.09489702	0.08946298	0.073543	0.06423176	0.05955063	0.06481996	0.07257706	0.07079221	0.06104859	0.06284986	0.02409033	0.00032536	0.02666755
