PROSOFT : ProSoft 7.6
CRUISE-ID : Missing
STATION-ID : Missing
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : DRY
REFERENCE : DRY
TIME-STAMP : Fri Apr 23 17:27:23 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 3a
FILE_CREATION_TIME : 10-Feb-2004 10:51:32
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
 : 
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021

Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Lu	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	Ed	
#Datetag	Timetag2	Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	Datetag	Timetag2	Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
1999113.00000000	172746741.00000000	28.00000000	0.08616542	0.12955392	0.18710568	0.21132872	0.16993995	0.08197264	0.03769561	0.01745745	0.00317126	0.00090779	0.00049108	0.00076145	0.00040812	1999113.00000000	172747805.00000000	28.00000000	8.14483728	10.95170522	14.83032094	17.18894256	17.30024436	9.89678286	6.68114862	3.31504173	0.25023582	0.01889923	0.00388100	0.03515671	0.01981506
1999113.00000000	172747680.00000000	29.00000000	0.08043169	0.12148789	0.17713869	0.20103893	0.16189112	0.07746947	0.03531591	0.01626114	0.00298876	0.00086242	0.00046942	0.00074169	0.00038889	1999113.00000000	172748754.00000000	29.00000000	7.56559651	10.18280447	13.83800713	16.00402503	16.03868352	9.00087137	6.17119698	2.90503766	0.20643371	0.01718866	0.00359416	0.03236268	0.01822530
1999113.00000000	172748624.00000000	30.00000000	0.07446355	0.11289316	0.16617193	0.18936556	0.15273712	0.07233491	0.03255447	0.01488458	0.00276299	0.00080033	0.00043843	0.00070407	0.00036493	1999113.00000000	172749696.00000000	30.00000000	7.17818141	9.69806136	13.32897873	15.46381458	15.47666203	8.55447033	5.81219521	2.67401554	0.17797135	0.01621057	0.00343994	0.03097534	0.01738305
1999113.00000000	172749555.00000000	31.00000000	0.06916985	0.10532202	0.15656023	0.17926287	0.14492426	0.06809939	0.03035643	0.01382446	0.00259265	0.00075367	0.00041732	0.00068556	0.00034637	1999113.00000000	172750613.00000000	31.00000000	6.85885155	9.31539947	12.96276015	15.11418567	15.13910739	8.23944076	5.24145486	2.50178012	0.15646281	0.01551899	0.00333198	0.02998711	0.01682588
1999113.00000000	172750486.00000000	32.00000000	0.06439477	0.09845930	0.14769586	0.16991701	0.13765670	0.06423275	0.02840275	0.01289284	0.00245315	0.00071495	0.00040036	0.00067518	0.00032949	1999113.00000000	172751568.00000000	32.00000000	6.42984883	8.76048067	12.27261283	14.32089742	14.31839810	7.65413628	5.09512141	2.24637694	0.13283060	0.01450662	0.00311868	0.02817854	0.01578611
1999113.00000000	172751448.00000000	33.00000000	0.05975519	0.09172966	0.13885667	0.16043986	0.13021169	0.06024873	0.02637462	0.01191622	0.00229503	0.00067079	0.00037519	0.00064485	0.00031035	1999113.00000000	172752368.00000000	33.00000000	6.04171325	8.25993320	11.68606156	13.66587028	13.63923321	7.17142048	4.63221176	2.03613963	0.11385776	0.01367429	0.00300787	0.02670637	0.01490021
1999113.00000000	172752245.00000000	34.00000000	0.05546200	0.08550310	0.13069804	0.15174543	0.12347124	0.05670216	0.02458091	0.01106167	0.00215947	0.00063090	0.00035518	0.00061543	0.00029258	1999113.00000000	172753182.00000000	34.00000000	5.70382796	7.83140461	11.20742454	13.16319948	13.13357134	6.80323767	4.27363650	1.87645913	0.09951065	0.01302022	0.00289947	0.02558430	0.01421085
1999113.00000000	172753047.00000000	35.00000000	0.05154162	0.07979025	0.12316137	0.14374126	0.11725516	0.05348686	0.02299588	0.01031834	0.00204306	0.00059746	0.00033689	0.00059239	0.00027771	1999113.00000000	172754184.00000000	35.00000000	5.35185959	7.37680274	10.65877942	12.55222976	12.51045776	6.37702317	3.78448500	1.70589727	0.08605052	0.01230674	0.00275038	0.02423239	0.01343257
1999113.00000000	172754036.00000000	36.00000000	0.04774920	0.07423094	0.11569733	0.13571989	0.11097715	0.05025893	0.02141229	0.00958151	0.00192069	0.00056128	0.00031912	0.00056946	0.00026276	1999113.00000000	172755210.00000000	36.00000000	5.00996292	6.92621738	10.09685970	11.91373884	11.85896226	5.94509465	3.51207287	1.53824039	0.07385953	0.01156267	0.00260595	0.02283991	0.01262675
1999113.00000000	172755055.00000000	37.00000000	0.04418366	0.06897926	0.10856107	0.12802539	0.10495008	0.04717890	0.01991712	0.00888626	0.00180558	0.00052747	0.00030165	0.00054557	0.00024678	1999113.00000000	172756212.00000000	37.00000000	4.73090647	6.57183208	9.69575495	11.48755765	11.43085835	5.64908434	3.44451556	1.41884472	0.06481026	0.01103895	0.00250261	0.02188541	0.01204986
