PROSOFT : ProSoft 7.6
CRUISE-ID : Missing
STATION-ID : Missing
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : DRY
REFERENCE : DRY
TIME-STAMP : Fri Apr 23 17:27:23 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:51:33
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
13.00000000	0.06285484	0.05908748	0.05069126	0.04776281	0.04791537	0.06051517	0.07491346	0.08867320	0.11502500	0.08613074	0.07291401	0.05884071	0.06197248
14.00000000	0.06355242	0.06023732	0.05244015	0.05007894	0.04980070	0.06147021	0.07532025	0.08700912	0.10649220	0.07733475	0.06572260	0.04951037	0.05901783
15.00000000	0.06283735	0.05940614	0.05175808	0.04924960	0.04897331	0.06033193	0.07338636	0.08458733	0.10125181	0.07328625	0.06562640	0.05197754	0.05944514
16.00000000	0.06161888	0.05811209	0.05048540	0.04785848	0.04738886	0.05836405	0.07144618	0.08229711	0.09605927	0.06910901	0.06427043	0.05279273	0.05896731
17.00000000	0.06110029	0.05740943	0.04943192	0.04652460	0.04605368	0.05680486	0.06945824	0.08014214	0.09073629	0.06397562	0.06187124	0.05220595	0.05732161
18.00000000	0.06433242	0.06049581	0.05234421	0.04942801	0.04915301	0.06076282	0.07426822	0.08555780	0.09484113	0.06988900	0.07062776	0.06598099	0.06408473
19.00000000	0.06289803	0.05903912	0.05059045	0.04749788	0.04650083	0.05655265	0.06903474	0.07863329	0.08410173	0.06244762	0.06358059	0.05842466	0.05902634
20.00000000	0.06168802	0.05784032	0.04962729	0.04627824	0.04539926	0.05475793	0.06565551	0.07420606	0.07710724	0.05727094	0.05821192	0.05093488	0.05561463
21.00000000	0.06476855	0.06131075	0.05368200	0.05068540	0.05017039	0.06037136	0.07212428	0.08092051	0.08122878	0.06291245	0.06294469	0.05456767	0.05925217
22.00000000	0.06533512	0.06172459	0.05364041	0.05045914	0.04944166	0.05909506	0.07064823	0.07869916	0.07637265	0.06038958	0.05987242	0.04986040	0.05771518
23.00000000	0.06519094	0.06113111	0.05235446	0.04852907	0.04723093	0.05622475	0.06675472	0.07408902	0.06993827	0.05501498	0.05429563	0.04296401	0.05429525
24.00000000	0.06634898	0.06214926	0.05292568	0.04882419	0.04737318	0.05611459	0.06651676	0.07358728	0.06795750	0.05461640	0.05402704	0.04282276	0.05393107
