PROSOFT : ProSoft 7.6
CRUISE-ID : EMTEC
STATION-ID : I1B-123
OPERATOR : Unknown
LATITUDE : 38 30.21 N
LONGITUDE : 17 59.95 E
PRESSURE-TARE : 0.000000
CAST : B
PROFILER : WET
REFERENCE : WET
TIME-STAMP : Wed May 05 11:18:23 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : 11:15
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:44:09
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
46.00000000	0.11943123	0.11678689	0.10353942	0.09059076	0.08869057	0.08761846	0.09340909	0.08938028	0.06550704	0.05266428	0.02303994	0.01485699	0.03449359
47.00000000	0.12173531	0.11917452	0.10560739	0.09237487	0.09076066	0.09002160	0.09674516	0.09279035	0.06853026	0.05470020	0.03020279	0.02516979	0.03643753
48.00000000	0.12033726	0.11759520	0.10333171	0.08994867	0.08869805	0.08828150	0.09535786	0.09171381	0.06801234	0.05379925	0.04459816	0.04894239	0.05006964
49.00000000	0.11862352	0.11539775	0.10003764	0.08640531	0.08559367	0.08579667	0.09327931	0.09055657	0.06796246	0.05522844	0.06612699	0.08293197	0.07423651
50.00000000	0.11918279	0.11567114	0.09932486	0.08547010	0.08509912	0.08632452	0.09490291	0.09390666	0.07368881	0.06413273	0.09202651	0.11837655	0.10335737
51.00000000	0.11873486	0.11515297	0.09849381	0.08476335	0.08456044	0.08660782	0.09614268	0.09674763	0.07919089	0.07221372	0.10623436	0.13484999	0.11932508
52.00000000	0.11644483	0.11267988	0.09577697	0.08219425	0.08183784	0.08408157	0.09362882	0.09463835	0.07905280	0.07252944	0.10227811	0.12741719	0.11553506
53.00000000	0.11467667	0.11060045	0.09309876	0.07934602	0.07887236	0.08096993	0.09008691	0.09080969	0.07531610	0.06769568	0.09100785	0.11215938	0.10386122
54.00000000	0.11652449	0.11224854	0.09388145	0.07974430	0.07937118	0.08154803	0.09086834	0.09157190	0.07574958	0.06570619	0.08332106	0.10295925	0.09767839
55.00000000	0.11869419	0.11426366	0.09522286	0.08096304	0.08067628	0.08327910	0.09312958	0.09443051	0.07787236	0.06733754	0.08131199	0.09864497	0.09416068
56.00000000	0.11786154	0.11330344	0.09370310	0.07962937	0.07914495	0.08227076	0.09255194	0.09455700	0.07992648	0.06882149	0.07829604	0.09080613	0.08906610
57.00000000	0.11449982	0.10963451	0.08943413	0.07569638	0.07492783	0.07860077	0.08882781	0.09230623	0.08185345	0.07085485	0.07783392	0.08634922	0.08572269
58.00000000	0.11207057	0.10673549	0.08592827	0.07231467	0.07135039	0.07584041	0.08625501	0.09154843	0.08460574	0.07555111	0.08321962	0.08950574	0.08749958
59.00000000	0.11265148	0.10714775	0.08551298	0.07189494	0.07087167	0.07621472	0.08734730	0.09478794	0.09083112	0.08221768	0.09087981	0.09668595	0.09339336
60.00000000	0.11039376	0.10510888	0.08331455	0.07015484	0.06903685	0.07503049	0.08647575	0.09550656	0.09258599	0.08482677	0.09595376	0.10148795	0.09620857
61.00000000	0.10565793	0.10037850	0.07863153	0.06601351	0.06466353	0.07101685	0.08233270	0.09152731	0.08972254	0.08234271	0.09560908	0.10163617	0.09397070
62.00000000	0.10050515	0.09495667	0.07318798	0.06114387	0.05963483	0.06637721	0.07731083	0.08713047	0.08739283	0.08000760	0.09845733	0.11094659	0.09500406
63.00000000	0.09814840	0.09212323	0.07049184	0.05881329	0.05738480	0.06486316	0.07584576	0.08662455	0.09030840	0.08315525	0.11009582	0.13295186	0.10368566
64.00000000	0.09976117	0.09340912	0.07180749	0.06043139	0.05906126	0.06744711	0.07910001	0.09110730	0.09672607	0.08907289	0.12271112	0.15072779	0.11412968
65.00000000	0.10097715	0.09446879	0.07296735	0.06219268	0.06075888	0.06980443	0.08179638	0.09459301	0.10111902	0.09472897	0.12920563	0.15586222	0.11739260
66.00000000	0.10192380	0.09527947	0.07402731	0.06367127	0.06203833	0.07163994	0.08392732	0.09693816	0.10467698	0.09806298	0.13223324	0.15465642	0.11925742
67.00000000	0.10305998	0.09633111	0.07500720	0.06511039	0.06334482	0.07353423	0.08626598	0.09936735	0.10847168	0.10381350	0.13691849	0.15350756	0.11803337
68.00000000	0.10503037	0.09813674	0.07694765	0.06743378	0.06571049	0.07648443	0.08982205	0.10270378	0.11144582	0.11247614	0.14032633	0.15094271	0.12487367
69.00000000	0.10652136	0.09990687	0.07910796	0.07000045	0.06839031	0.07953334	0.09332193	0.10487459	0.11190099	0.11235113	0.14440123	0.13981726	0.12330952
70.00000000	0.10711316	0.10063878	0.08019451	0.07146574	0.07002625	0.08125478	0.09531155	0.10536550	0.10928774	0.10973212	0.13351578	0.11889919	0.11805485
71.00000000	0.10676100	0.10092773	0.08084413	0.07234225	0.07102306	0.08237676	0.09643197	0.10413779	0.10466612	0.10518308	0.12531659	0.10052093	0.10513835
72.00000000	0.10841882	0.10133587	0.08150559	0.07325744	0.07212186	0.08376204	0.09841949	0.10419667	0.10290848	0.09883858	0.11987108	0.09490123	0.10009004
73.00000000	0.10864097	0.10124877	0.08162929	0.07374504	0.07272405	0.08485922	0.10058525	0.10428568	0.10032666	0.09504543	0.11228632	0.09472630	0.10323004
74.00000000	0.10825297	0.10066631	0.08115905	0.07361006	0.07285023	0.08551772	0.10212518	0.10358304	0.09839850	0.09107524	0.11655105	0.09823112	0.10072141
75.00000000	0.10929382	0.10046359	0.08081297	0.07336831	0.07295029	0.08625838	0.10410069	0.10518315	0.09401687	0.09040826	0.12123854	0.10256769	0.10978933
76.00000000	0.10852337	0.10068378	0.08043902	0.07330244	0.07325824	0.08736738	0.10584002	0.10569448	0.09147138	0.09352836	0.13047705	0.10613886	0.10763139
77.00000000	0.11082829	0.10090680	0.08095484	0.07380037	0.07410997	0.08926896	0.10887708	0.10875330	0.09658801	0.10015143	0.14977490	0.12103454	0.11928252
78.00000000	0.10962567	0.09989107	0.07963668	0.07289770	0.07319543	0.08889764	0.11011198	0.10858581	0.10966020	0.10210942	0.16005666	0.14274020	0.13074776
79.00000000	0.10583893	0.09567941	0.07565813	0.06930609	0.06933743	0.08484847	0.10710704	0.10497997	0.11370436	0.10201897	0.15967132	0.15273263	0.14484765
80.00000000	0.09925850	0.08880015	0.06966753	0.06321137	0.06294402	0.07721932	0.09915221	0.09582074	0.10298468	0.10334474	0.16018083	0.14737691	0.14681633
81.00000000	0.09579455	0.08530834	0.06602627	0.05935543	0.05891897	0.07207287	0.09397924	0.08949446	0.09684632	0.09101136	0.15127867	0.14090563	0.14120251
82.00000000	0.09491695	0.08336881	0.06421382	0.05713404	0.05683687	0.06906574	0.08974939	0.08919744	0.10185652	0.08645809	0.16455622	0.13685787	0.13631131
83.00000000	0.09518846	0.08402802	0.06375153	0.05674151	0.05668960	0.06887209	0.09090480	0.08418859	0.10711475	0.07532861	0.19006151	0.14759609	0.12357873
84.00000000	0.09778746	0.08565062	0.06433477	0.05756491	0.05760880	0.07005830	0.09317070	0.08577592	0.11405725	0.06771169	0.20275370	0.15662846	0.12856351
85.00000000	0.09392319	0.08311802	0.06159836	0.05530533	0.05544101	0.06769203	0.09074554	0.07760814	0.10361185	0.07110482	0.22841805	0.15374676	0.12168784

Level 4 Product: K Values
K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	K_Ed	
Depth	399.8	411.5	442.6	469.8	490.9	509.6	531.5	554.9	589.4	619.4	665.7	682.5	700.2	
4.00000000	0.09883800	0.08990467	0.08116063	0.07446336	0.08009870	0.10413558	0.13024699	0.13779194	0.22634665	0.37108080	0.49304786	0.52095122	0.71274760
5.00000000	0.04508394	0.04266823	0.02692255	0.02326183	0.01814878	0.03435894	0.05223483	0.06029318	0.13801770	0.28278200	0.40176304	0.42318336	0.58637818
