PROSOFT : ProSoft 7.6
CRUISE-ID : Missing
STATION-ID : Missing
OPERATOR : Missing
LATITUDE : Missing
LONGITUDE : Missing
PRESSURE-TARE : 0.000000
CAST : A
PROFILER : DRY
REFERENCE : DRY
TIME-STAMP : Mon Apr 26 14:20:55 1999
PRO-DARK : OFF
REF-DARK : OFF
COMMENT : Missing
PROCESSING_LEVEL : 4
FILE_CREATION_TIME : 10-Feb-2004 10:49:59
DEGLITCH_PRODAT : ON
PRO_NOISE_THRESH : 5
UPPER_PRES_LEVEL : 30
LOWER_PRES_LEVEL : 200
DEGLITCH_REFDAT : OFF
PRES_TARE_CORRECTED : 0
DEPTH_RESOLUTION : 0.1m
BIN_INTERVAL : 1m
BIN_WIDTH : 0.5m
TIME_INTERVAL : 2sec
TIME_WIDTH : 1sec
WAVEL_INTERP : 0nm
INTEGRATION_POINTS : 5
REFLECTION_ALBEDO : 0.043
REFLECTANCE_INDEX : 0.021
REFRACTIVE_INDEX : 1.345

Level 4 Product: K Values
K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	K_Lu	
#Depth	399.8	412.2	442.0	470.1	490.4	509.8	531.7	554.5	590.2	619.0	665.6	683.3	700.4	
13.00000000	0.04988100	0.04753091	0.04103904	0.03855104	0.03749206	0.04326065	0.05041996	0.05780968	0.07468286	0.06093147	0.05205215	0.04308234	0.04529205
14.00000000	0.05035227	0.04682349	0.04009069	0.03649428	0.03581634	0.04220940	0.04962933	0.05647295	0.07313758	0.05489775	0.04661724	0.03887807	0.04366353
15.00000000	0.04437267	0.04119797	0.03386073	0.03010631	0.02838858	0.03322832	0.04055900	0.04721219	0.05982825	0.03886129	0.03229406	0.02149094	0.03311197
16.00000000	0.05252174	0.04850301	0.04024390	0.03629373	0.03489853	0.04261711	0.05184598	0.06089912	0.07772770	0.05588489	0.04992492	0.04142034	0.04535739
17.00000000	0.06020798	0.05589904	0.04772009	0.04360776	0.04255860	0.05147931	0.06043485	0.06883206	0.08014027	0.05496080	0.04928040	0.03186954	0.04883554
18.00000000	0.06406097	0.05995321	0.05055885	0.04685012	0.04586319	0.05476652	0.06531599	0.07403189	0.08690330	0.06684553	0.06325394	0.04893014	0.05822502
19.00000000	0.05251413	0.04790312	0.03937540	0.03484707	0.03353184	0.04031252	0.04849826	0.05455186	0.06345834	0.04047686	0.03678428	0.01373733	0.03945396
20.00000000	0.04745311	0.04271531	0.03327944	0.02880481	0.02694878	0.03317859	0.04119135	0.04772241	0.05722993	0.03756656	0.03528368	0.01654120	0.03574486
21.00000000	0.05307542	0.04858773	0.03998157	0.03574015	0.03388054	0.04001457	0.04648257	0.05214389	0.05453406	0.03214419	0.03059426	0.00775625	0.03610912
22.00000000	0.06643155	0.06149049	0.05255406	0.04813501	0.04725593	0.05610626	0.06499633	0.07195749	0.07289245	0.05141907	0.04935973	0.03011715	0.05129291
23.00000000	0.05545398	0.05144671	0.04223948	0.03818803	0.03666078	0.04268563	0.05065049	0.05608291	0.05242654	0.03267591	0.03114305	0.00716598	0.03709885
24.00000000	0.04988907	0.04535865	0.03547050	0.03113270	0.02914316	0.03563674	0.04375917	0.05018468	0.04865552	0.03145885	0.03084502	0.00871202	0.03344912
25.00000000	0.05673528	0.05222072	0.04186110	0.03789923	0.03591989	0.04405281	0.05402003	0.06247209	0.06375003	0.05250383	0.05196478	0.03546151	0.04637166
26.00000000	0.06386900	0.06024285	0.05215394	0.04853729	0.04668681	0.05348928	0.06133316	0.06721007	0.06176212	0.04804528	0.04628019	0.02066771	0.04770839
27.00000000	0.07290896	0.06854023	0.05989015	0.05573123	0.05456942	0.06268320	0.07130785	0.07712568	0.07470033	0.06586251	0.06421174	0.04602479	0.06155710
28.00000000	0.05788361	0.05385765	0.04557896	0.04110702	0.03924178	0.04362904	0.04940166	0.05199978	0.04423180	0.03336817	0.03053533	0.00520982	0.03789930
29.00000000	0.05223376	0.04751674	0.03833103	0.03350535	0.03107782	0.03610145	0.04181984	0.04578625	0.03921828	0.03129899	0.03134261	0.01114379	0.03430089
